Hs-PLTP,2000,1000,T101393-PLTP,"p1@PLTP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T011776,t101393,2,008.0000,1.0,p1@ADAMTS15,170689,16305,Q8TE58,ADAMTS15,"ADAM metallopeptidase with thrombospondin type 1 motif 15","gene with protein product"
26,T099422,t101393,1,993.0000,0.991542288557,p1@CPXM1,56265,15771,"Q96SM3,Q8N2F1",CPXM1,"carboxypeptidase X, M14 family member 1","gene with protein product"
27,T055841,t101393,1,990.0000,0.991035856574,p1@SERPINF1,5176,8824,"F1T092,P36955",SERPINF1,"serpin family F member 1","gene with protein product"
28,T101393,t107667,1,988.0000,0.990533134031,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
29,T027307,t101393,1,989.0000,0.990044798407,p10@STAT6,6778,11368,,STAT6,"signal transducer and activator of transcription 6","gene with protein product"
30,T101393,t191492,1,990.0000,0.989557434112,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
31,T017879,t101393,1,988.0000,0.989547038328,p1@TMEM80,283232,27453,E9PQJ9,TMEM80,"transmembrane protein 80","gene with protein product"
32,T018658,t101393,1,984.0000,0.989526184539,p2@TSKU,25987,28850,E7EVE1,TSKU,"tsukushi, small leucine rich proteoglycan","gene with protein product"
33,T101393,t191491,1,987.0000,0.989049278248,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
34,T101393,t118737,1,986.0000,0.989043824701,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
35,T073879,t101393,1,984.0000,0.989032901296,p1@ECH1,1891,3149,Q13011,ECH1,"enoyl-CoA hydratase 1","gene with protein product"
36,T010126,t101393,1,984.0000,0.988540109616,p2@SIDT2,51092,24272,E9PID9,SIDT2,"SID1 transmembrane family member 2","gene with protein product"
37,T076493,t101393,1,984.0000,0.988540109616,p2@HSD17B14,51171,23238,Q9BPX1,HSD17B14,"hydroxysteroid 17-beta dehydrogenase 14","gene with protein product"
38,T101393,t125709,1,983.0000,0.98853439681,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
39,T055839,t101393,1,986.0000,0.988059701493,p2@SERPINF1,5176,8824,"F1T092,P36955",SERPINF1,"serpin family F member 1","gene with protein product"
40,T101393,t143182,1,984.0000,0.987555998009,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
41,T051968,t101393,1,985.0000,0.987071108901,p2@C16orf89,146556,28687,,C16orf89,"chromosome 16 open reading frame 89","gene with protein product"
42,T094777,t101393,1,977.0000,0.987019470794,p1@TMEM53,79639,26186,"Q5TDE2,Q5TDE5,Q5TDE6,Q5TDE4,Q6P2H8",TMEM53,"transmembrane protein 53","gene with protein product"
43,T092910,t101393,1,986.0000,0.986587183308,p2@WASF2,10163,12733,B4DZN0,WASF2,"WAS protein family member 2","gene with protein product"
44,T026746,t101393,1,979.0000,0.986048829098,p3@ZNF385A,25946,17521,,ZNF385A,"zinc finger protein 385A","gene with protein product"
45,T101393,t107668,1,978.0000,0.985550572995,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
46,T101393,t107740,1,978.0000,0.985059760956,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
47,T016129,t101393,1,976.0000,0.984554060787,p3@SLC22A6,9356,10970,F5H0T7,SLC22A6,"solute carrier family 22 member 6","gene with protein product"
48,T013524,t101393,1,979.0000,0.984087518647,p2@IFITM3,10410,5414,,IFITM3,"interferon induced transmembrane protein 3","gene with protein product"
49,T101393,t107736,1,974.0000,0.984047856431,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
50,T007060,t101393,1,974.0000,0.98355754858,p25@KCNMA1,3778,6284,,KCNMA1,"potassium calcium-activated channel subfamily M alpha 1","gene with protein product"
51,T101393,t107738,1,977.0000,0.983092988563,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
52,T006574,t101393,1,973.0000,0.982569721116,p3@PSAP,5660,9498,Q5BJH1,PSAP,prosaposin,"gene with protein product"
53,T101393,t107743,1,975.0000,0.982098458478,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
54,T101393,t200146,1,971.0000,0.982062780269,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
55,T029210,t101393,1,971.0000,0.981085116974,p3@CD163,9332,1631,F5GZZ9,CD163,"CD163 molecule","gene with protein product"
56,T101393,t188733,1,970.0000,0.980587356894,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
57,T087399,t101393,1,964.0000,0.979551122195,p9@CAPZB,832,1491,,CAPZB,"capping actin protein of muscle Z-line beta subunit","gene with protein product"
58,T027299,t101393,1,969.0000,0.979114868225,p7@LRP1,4035,6692,Q7Z7K9,LRP1,"LDL receptor related protein 1","gene with protein product"
59,T037014,t101393,1,966.0000,0.979083665339,p9@SLC7A8,23428,11066,,SLC7A8,"solute carrier family 7 member 8","gene with protein product"
60,T101393,t150574,1,964.0000,0.979062811565,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
61,T101393,t143181,1,968.0000,0.978617603182,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
62,T037435,t101393,1,967.0000,0.978606965174,p2@NYNRIN,57523,20165,Q9P2P1,NYNRIN,"NYN domain and retroviral integrase containing","gene with protein product"
63,T046384,t101393,1,964.0000,0.978574987544,p2@STRA6,64220,30650,Q9BX79,STRA6,"stimulated by retinoic acid 6","gene with protein product"
64,T007487,t101393,1,963.0000,0.977103036336,p4@FAM213A,84293,28651,Q9BRX8,FAM213A,"family with sequence similarity 213 member A","gene with protein product"
65,T065463,t101393,1,962.0000,0.977091633466,p2@RANGRF,29098,17679,Q9HD47,RANGRF,"RAN guanine nucleotide release factor","gene with protein product"
66,T024058,t101393,1,962.0000,0.976605276257,p1@IQSEC3,440073,29193,Q9UPP2,IQSEC3,"IQ motif and Sec7 domain 3","gene with protein product"
67,T101393,t143183,1,961.0000,0.976107516177,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
68,T101393,t110809,1,961.0000,0.976107516177,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
69,T071203,t101393,1,958.0000,0.975099601594,p1@MRPL34,64981,14488,Q9BQ48,MRPL34,"mitochondrial ribosomal protein L34","gene with protein product"
70,T055840,t101393,1,961.0000,0.974652087475,p3@SERPINF1,5176,8824,"F1T092,P36955",SERPINF1,"serpin family F member 1","gene with protein product"
71,T091413,t101393,1,953.0000,0.974550898204,p3@NID1,4811,7821,,NID1,"nidogen 1","gene with protein product"
72,T014634,t101393,1,960.0000,0.974155069583,p3@NR1H3,10062,7966,"F8WEY6,C9JCS0",NR1H3,"nuclear receptor subfamily 1 group H member 3","gene with protein product"
73,T017445,t101393,1,956.0000,0.973618715779,p2@PC,5091,8636,,PC,"pyruvate carboxylase","gene with protein product"
74,T071201,t101393,1,953.0000,0.973579262213,p2@MRPL34,64981,14488,Q9BQ48,MRPL34,"mitochondrial ribosomal protein L34","gene with protein product"
75,T063771,t101393,1,953.0000,0.973579262213,p9@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
76,T101393,t121358,1,961.0000,0.973200992556,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
77,T058806,t101393,1,954.0000,0.973107569721,p1@FAM134C,162427,27258,B3KR75,FAM134C,"family with sequence similarity 134 member C","gene with protein product"
78,T016349,t101393,1,954.0000,0.973107569721,p1@DNAJC4,3338,5271,Q96FY5,DNAJC4,"DnaJ heat shock protein family (Hsp40) member C4","gene with protein product"
79,T090421,t101393,1,953.0000,0.973094170404,p1@EPHX1,2052,3401,B1AQP8,EPHX1,"epoxide hydrolase 1","gene with protein product"
80,T012608,t101393,1,951.0000,0.973067331671,p18@LSP1,4046,6707,E9PBD8,LSP1,"lymphocyte-specific protein 1","gene with protein product"
81,T010128,t101393,1,954.0000,0.971655892591,p4@SIDT2,51092,24272,Q8NBJ9,SIDT2,"SID1 transmembrane family member 2","gene with protein product"
82,T101393,t122830,1,950.0000,0.971115537849,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
83,T101393,t146473,1,950.0000,0.971115537849,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
84,T101393,t154086,1,950.0000,0.971115537849,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
85,T070608,t101393,1,947.0000,0.969621513944,p3@PRKACA,5566,9380,B7Z708,PRKACA,"protein kinase cAMP-activated catalytic subunit alpha","gene with protein product"
86,T022667,t101393,1,944.0000,0.967645594823,p2@SCARB1,949,1664,F8W8N0,SCARB1,"scavenger receptor class B member 1","gene with protein product"
87,T063503,t101393,1,941.0000,0.96711509716,p5@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
88,T101393,t191493,1,941.0000,0.96711509716,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
89,T045602,t101393,1,940.0000,0.967098703888,p3@IGDCC4,57722,13770,Q8TDY8,IGDCC4,"immunoglobulin superfamily DCC subclass member 4","gene with protein product"
90,T063769,t101393,1,940.0000,0.966616841056,p49@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
91,T101393,t150572,1,947.0000,0.966253101737,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
92,T101393,t155857,1,937.0000,0.96608478803,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
93,T063774,t101393,1,939.0000,0.965637450199,p22@SEPT9,10801,7323,,SEPT9,"septin 9","gene with protein product"
94,T081536,t101393,1,939.0000,0.964676616915,p13@MXRA8,54587,7542,B3KTR6,MXRA8,"matrix remodeling associated 8","gene with protein product"
95,T007347,t101393,1,933.0000,0.964089775561,p1@ZCCHC24,219654,26911,Q8N2G6,ZCCHC24,"zinc finger CCHC-type containing 24","gene with protein product"
96,T101393,t167110,1,940.0000,0.963735717834,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
97,T019178,t101393,1,933.0000,0.963609172483,p6@TSPAN4,7106,11859,E9PPX8,TSPAN4,"tetraspanin 4","gene with protein product"
98,T009244,t101393,1,931.0000,0.963572854291,p6@LYVE1,10894,14687,Q9Y5Y7,LYVE1,"lymphatic vessel endothelial hyaluronan receptor 1","gene with protein product"
99,T101393,t188732,1,928.0000,0.96351824088,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
100,T087802,t101393,1,933.0000,0.963129048331,p8@NAV1,89796,15989,,NAV1,"neuron navigator 1","gene with protein product"
101,T101393,t135609,1,933.0000,0.963129048331,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
102,T060493,t101393,1,930.0000,0.96163428002,p2@ACSF2,80221,26101,"B4DFQ6,D6RF15,E9PF16,D6RF87",ACSF2,"acyl-CoA synthetase family member 2","gene with protein product"
103,T074309,t101393,1,929.0000,0.961136023916,p2@PLD3,23646,17158,"Q8IV08,B4DEL6",PLD3,"phospholipase D family member 3","gene with protein product"
104,T101393,t182189,1,933.0000,0.960735586481,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
105,T101393,t185054,1,926.0000,0.960119641077,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
106,T013432,t101393,1,932.0000,0.959761549925,p4@IFITM2,10581,5413,Q01629,IFITM2,"interferon induced transmembrane protein 2","gene with protein product"
107,T015713,t101393,1,930.0000,0.959721531576,p1@FADS2,9415,3575,,FADS2,"fatty acid desaturase 2","gene with protein product"
108,T101393,t200758,1,922.0000,0.958125623131,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
109,T101393,t107742,1,923.0000,0.957192633151,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
110,T063767,t101393,1,916.0000,0.956565152272,p35@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
111,T046385,t101393,1,915.0000,0.956065901148,p3@STRA6,64220,30650,Q9BX79,STRA6,"stimulated by retinoic acid 6","gene with protein product"
112,T063772,t101393,1,925.0000,0.955809334657,p12@SEPT9,10801,7323,,SEPT9,"septin 9","gene with protein product"
113,T018275,t101393,1,921.0000,0.955721393035,p23@ARHGEF17,9828,21726,Q96PE2,ARHGEF17,"Rho guanine nucleotide exchange factor 17","gene with protein product"
114,T016130,t101393,1,914.0000,0.954137587238,p7@SLC22A6,9356,10970,F5H0T7,SLC22A6,"solute carrier family 22 member 6","gene with protein product"
115,T084790,t101393,1,917.0000,0.953257086027,p3@MPZ,4359,7225,E9PL80,MPZ,"myelin protein zero","gene with protein product"
116,T101393,t189519,1,914.0000,0.953187250996,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
117,T100589,t101393,1,919.0000,0.952830188679,p4@BPI,671,1095,,BPI,"bactericidal/permeability-increasing protein","gene with protein product"
118,T075873,t101393,1,917.0000,0.952783300199,p3@CCDC8,83987,25367,F5GX02,CCDC8,"coiled-coil domain containing 8","gene with protein product"
119,T101393,t108587,1,909.0000,0.952594810379,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
120,T069763,t101393,1,914.0000,0.951292246521,p13@KANK2,25959,29300,Q63ZY3,KANK2,"KN motif and ankyrin repeat domains 2","gene with protein product"
121,T039248,t101393,1,904.0000,0.951048951049,p17@TMEM30B,161291,27254,,TMEM30B,"transmembrane protein 30B","gene with protein product"
122,T006575,t101393,1,910.0000,0.950721752115,p2@PSAP,5660,9498,Q5BJH1,PSAP,prosaposin,"gene with protein product"
123,T087556,t101393,1,908.0000,0.950199203187,p1@NBL1,"100532736,4681",7650,P41271,NBL1,"neuroblastoma 1, DAN family BMP antagonist","gene with protein product"
124,T101393,t107741,1,906.0000,0.950149551346,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
125,T018657,t101393,1,907.0000,0.949228471877,p1@TSKU,25987,28850,E7EVE1,TSKU,"tsukushi, small leucine rich proteoglycan","gene with protein product"
126,T087553,t101393,1,904.0000,0.949152542373,p5@NBL1,"100532736,4681",7650,"A3KFI2,P41271",NBL1,"neuroblastoma 1, DAN family BMP antagonist","gene with protein product"
127,T091412,t101393,1,900.0000,0.948103792415,p1@NID1,4811,7821,,NID1,"nidogen 1","gene with protein product"
128,T038633,t101393,1,909.0000,0.947394540943,p1@NID2,22795,13389,E7EPP3,NID2,"nidogen 2","gene with protein product"
129,T006576,t101393,1,903.0000,0.947237431558,p16@PSAP,5660,9498,"F8W6Z6,C9JIZ6,P07602",PSAP,prosaposin,"gene with protein product"
130,T101393,t158217,1,899.0000,0.946188340807,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
131,T101393,t147301,1,900.0000,0.945273631841,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
132,T101393,t191494,1,899.0000,0.945246391239,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
133,T046369,t101393,1,898.0000,0.945219123506,p1@ISLR,3671,6133,O14498,ISLR,"immunoglobulin superfamily containing leucine rich repeat","gene with protein product"
134,T055846,t101393,1,895.0000,0.945137157107,p4@SERPINF1,5176,8824,P36955,SERPINF1,"serpin family F member 1","gene with protein product"
135,T101393,t172754,1,895.0000,0.945137157107,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
136,T101393,t148161,1,896.0000,0.94422310757,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
137,T101393,t191057,1,900.0000,0.943396226415,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
138,T024682,t101393,1,895.0000,0.942786069652,p2@SLC6A12,6539,11045,,SLC6A12,"solute carrier family 6 member 12","gene with protein product"
139,T070827,t101393,1,893.0000,0.942729083665,p4@ILVBL,10994,6041,E9PJS0,ILVBL,"ilvB acetolactate synthase like","gene with protein product"
140,T101393,t182336,1,891.0000,0.941733067729,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
141,T101393,t166511,1,889.0000,0.941674975075,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
142,T101393,t158218,1,892.0000,0.941293532338,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
143,T101393,t198165,1,884.0000,0.941058941059,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
144,T063504,t101393,1,890.0000,0.940766550523,p1@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
145,T101393,t130072,1,889.0000,0.940737051793,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
146,T012607,t101393,1,887.0000,0.940677966102,p7@LSP1,4046,6707,E9PBD8,LSP1,"lymphocyte-specific protein 1","gene with protein product"
147,T101393,t136302,1,887.0000,0.940677966102,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
148,T015705,t101393,1,884.0000,0.938714499253,p1@FADS1,3992,3574,,FADS1,"fatty acid desaturase 1","gene with protein product"
149,T101393,t130035,1,885.0000,0.938277750124,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
150,T060437,t101393,1,878.0000,0.938061938062,p5@COL1A1,1277,2197,,COL1A1,"collagen type I alpha 1 chain","gene with protein product"
151,T057820,t101393,1,884.0000,0.937779990045,p11@PPP1R1B,84152,9287,"B3KVQ9,Q9UD71",PPP1R1B,"protein phosphatase 1 regulatory inhibitor subunit 1B","gene with protein product"
152,T101393,t121357,1,884.0000,0.937313432836,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
153,T101393,t117798,1,887.0000,0.936941410129,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
154,T101393,t198513,1,879.0000,0.935756972112,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
155,T076495,t101393,1,876.0000,0.933797909408,p3@HSD17B14,51171,23238,Q9BPX1,HSD17B14,"hydroxysteroid 17-beta dehydrogenase 14","gene with protein product"
156,T016128,t101393,1,872.0000,0.933665835411,p2@SLC22A6,9356,10970,F5H0T7,SLC22A6,"solute carrier family 22 member 6","gene with protein product"
157,T047564,t101393,1,878.0000,0.933399602386,p3@MFGE8,4240,7036,Q08431,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
158,T024679,t101393,1,872.0000,0.933200398804,p3@SLC6A12,6539,11045,F5H4L6,SLC6A12,"solute carrier family 6 member 12","gene with protein product"
159,T046370,t101393,1,869.0000,0.933100349476,p6@ISLR,3671,6133,O14498,ISLR,"immunoglobulin superfamily containing leucine rich repeat","gene with protein product"
160,T101393,t200702,1,873.0000,0.932768924303,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
161,T101393,t121533,1,873.0000,0.932304629169,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
162,T015469,t101393,1,871.0000,0.932237169905,p3@PTGDR2,11251,4502,Q9Y5Y4,PTGDR2,"prostaglandin D2 receptor 2","gene with protein product"
163,T101008,t101393,1,870.0000,0.932203389831,p7@WISP2,8839,12770,,WISP2,"WNT1 inducible signaling pathway protein 2","gene with protein product"
164,T084638,t101393,1,874.0000,0.931874689209,p7@FBLIM1,54751,24686,"D6R9I4,D6RAI8",FBLIM1,"filamin binding LIM protein 1","gene with protein product"
165,T101393,t176257,1,870.0000,0.931738913802,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
166,T075859,t101393,1,869.0000,0.931240657698,p11@HIF3A,64344,15825,,HIF3A,"hypoxia inducible factor 3 alpha subunit","gene with protein product"
167,T089642,t101393,1,873.0000,0.930914512922,p5@ECE1,1889,3146,,ECE1,"endothelin converting enzyme 1","gene with protein product"
168,T100590,t101393,1,870.0000,0.93081134893,p3@BPI,671,1095,,BPI,"bactericidal/permeability-increasing protein","gene with protein product"
169,T064503,t101393,1,869.0000,0.93077689243,p1@TBC1D16,125058,28356,"Q8TBP0,B9A6L7",TBC1D16,"TBC1 domain family member 16","gene with protein product"
170,T030966,t101393,1,867.0000,0.929318068691,p1@ZIC2,7546,12873,O95409,ZIC2,"Zic family member 2","gene with protein product"
171,T063502,t101393,1,865.0000,0.928322548532,p2@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
172,T101393,t136205,1,865.0000,0.927860696517,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
173,T101393,t130029,1,864.0000,0.92736318408,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
174,T015470,t101393,1,861.0000,0.926331508213,p1@PTGDR2,11251,4502,Q9Y5Y4,PTGDR2,"prostaglandin D2 receptor 2","gene with protein product"
175,T035322,t101393,1,864.0000,0.925521350546,p1@DIO3,,2885,G3XAM0,DIO3,"iodothyronine deiodinase 3","gene with protein product"
176,T101393,t109988,1,864.0000,0.925521350546,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
177,T038632,t101393,1,863.0000,0.925484351714,p2@NID2,22795,13389,E7EPP3,NID2,"nidogen 2","gene with protein product"
178,T027867,t101393,1,854.0000,0.925149700599,p1@TNFRSF1A,7132,11916,"P19438,F5H6V7,F5GWJ4",TNFRSF1A,"TNF receptor superfamily member 1A","gene with protein product"
179,T090849,t101393,1,856.0000,0.924763328351,p3@C1QB,713,1242,"P02746,D6RA08",C1QB,"complement C1q B chain","gene with protein product"
180,T063766,t101393,1,859.0000,0.924415713575,p18@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
181,T101393,t155590,1,857.0000,0.924340467894,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
182,T101393,t135479,1,853.0000,0.923728813559,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
183,T015738,t101393,1,858.0000,0.923459244533,p8@RAB3IL1,5866,9780,Q8TBN0,RAB3IL1,"RAB3A interacting protein like 1","gene with protein product"
184,T059625,t101393,1,854.0000,0.923306772908,p3@SMTNL2,342527,24764,Q2TAL5,SMTNL2,"smoothelin like 2","gene with protein product"
185,T024680,t101393,1,851.0000,0.92319201995,p4@SLC6A12,6539,11045,F5H4L6,SLC6A12,"solute carrier family 6 member 12","gene with protein product"
