Hs-DDX55,2000,1000,T022506-DDX55,"p1@DDX55"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T006265,t022506,2,010.0000,1.0,p1@SUPV3L1,6832,11471,Q8IYB8,SUPV3L1,"Suv3 like RNA helicase","gene with protein product"
16,T022506,t043735,2,003.0000,0.999002493766,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
17,T022506,t111047,2,012.0000,0.998511166253,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
18,T022506,t090807,2,008.0000,0.998508204873,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
19,T022506,t094989,2,006.0000,0.998506719761,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
20,T022506,t197545,2,002.0000,0.998503740648,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
21,T022506,t083420,2,002.0000,0.998503740648,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
22,T022506,t080096,2,001.0000,0.998502994012,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
23,T022506,t093143,2,012.0000,0.998015873016,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
24,T022506,t179763,2,005.0000,0.998008959681,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
25,T022506,t135337,2,003.0000,0.998006975585,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
26,T022506,t094988,2,004.0000,0.997511199602,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
27,T022506,t132321,2,002.0000,0.997508719482,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
28,T022506,t049874,2,002.0000,0.997508719482,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
29,T011117,t022506,2,002.0000,0.997011952191,p1@ZNF202,7753,12994,"O95125,E9PJL4,E9PM99",ZNF202,"zinc finger protein 202","gene with protein product"
30,T022506,t116526,2,001.0000,0.997010463378,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
31,T022506,t172176,2,000.0000,0.997008973081,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
32,T022506,t096238,1,999.0000,0.997007481297,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
33,T022506,t057529,2,002.0000,0.996515679443,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
34,T022506,t023128,2,001.0000,0.996513944223,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
35,T022506,t176676,2,000.0000,0.996512207275,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
36,T022506,t099850,1,999.0000,0.996510468594,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
37,T022506,t070101,1,998.0000,0.99650872818,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
38,T022506,t052694,1,997.0000,0.996506986028,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
39,T022506,t164577,1,996.0000,0.996505242137,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
40,T022506,t100656,2,005.0000,0.996025832091,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
41,T022506,t049348,2,002.0000,0.996019900498,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
42,T022506,t081610,1,998.0000,0.996011964108,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
43,T022506,t057483,2,003.0000,0.995526838966,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
44,T022506,t173154,2,002.0000,0.99552461462,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
45,T022506,t121504,2,000.0000,0.995520159283,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
46,T022506,t084225,2,005.0000,0.995037220844,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
47,T022506,t043971,1,999.0000,0.995022399204,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
48,T022506,t100531,1,996.0000,0.995014955135,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
49,T022506,t152810,1,998.0000,0.994524639124,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
50,T022506,t102771,1,998.0000,0.994029850746,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
51,T022506,t121630,1,995.0000,0.994020926756,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
52,T022506,t065864,1,998.0000,0.993535554451,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
53,T022506,t099400,1,994.0000,0.993522670653,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
54,T022506,t182485,1,991.0000,0.993512974052,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
55,T022506,t089997,1,995.0000,0.993031358885,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
56,T022506,t090629,1,994.0000,0.993027888446,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
57,T022506,t106667,1,993.0000,0.993024414549,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
58,T022506,t094068,1,991.0000,0.993017456359,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
59,T022506,t106659,1,995.0000,0.992537313433,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
60,T022506,t182572,1,994.0000,0.992533598805,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
61,T022506,t130904,1,993.0000,0.992529880478,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
62,T022506,t174111,1,993.0000,0.992529880478,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
63,T022506,t106580,1,993.0000,0.992529880478,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
64,T022506,t106841,1,993.0000,0.992035838726,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
65,T022506,t149331,1,992.0000,0.99203187251,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
66,T022506,t024549,1,990.0000,0.992023928215,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
67,T022506,t085810,1,988.0000,0.991521197007,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
68,T015989,t022506,1,992.0000,0.991044776119,p7@C11orf48,79081,28351,E9PQ29,LBHD1,"LBH domain containing 1","gene with protein product"
69,T022506,t095309,1,990.0000,0.991035856574,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
70,T022506,t063087,1,987.0000,0.99102244389,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
71,T022506,t169256,1,993.0000,0.990064580229,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
72,T022506,t170448,1,986.0000,0.989536621824,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
73,T022506,t190507,1,984.0000,0.989526184539,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
74,T022506,t043507,1,991.0000,0.989071038251,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
75,T022506,t085311,1,988.0000,0.989054726368,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
76,T022506,t160134,1,984.0000,0.989032901296,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
77,T022506,t191636,1,982.0000,0.989021956088,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
78,T022506,t160862,1,981.0000,0.989016475287,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
79,T022506,t085057,1,983.0000,0.98853439681,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
80,T022506,t168755,1,980.0000,0.988517224164,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
81,T022506,t154999,1,980.0000,0.988517224164,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
82,T022506,t178985,1,985.0000,0.988053758089,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
83,T022506,t050260,1,984.0000,0.988047808765,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
84,T022506,t134642,1,983.0000,0.987549800797,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
85,T022506,t168560,1,983.0000,0.987549800797,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
86,T022506,t063629,1,983.0000,0.987058237929,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
87,T021802,t022506,1,978.0000,0.986533665835,p1@PRKAB1,5564,9378,"B4DVP2,Q9Y478",PRKAB1,"protein kinase AMP-activated non-catalytic subunit beta 1","gene with protein product"
88,T022506,t070354,1,978.0000,0.986041874377,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
89,T022506,t055228,1,977.0000,0.986034912718,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
90,T022506,t134470,1,980.0000,0.985074626866,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
91,T022506,t114718,1,975.0000,0.985037406484,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
92,T022506,t123021,1,979.0000,0.984577114428,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
93,T022506,t106773,1,976.0000,0.984554060787,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
94,T022506,t111003,1,979.0000,0.984087518647,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
95,T022506,t100532,1,975.0000,0.984055804684,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
96,T010726,t022506,1,973.0000,0.984039900249,p1@POU2F3,25833,19864,F5GWW6,POU2F3,"POU class 2 homeobox 3","gene with protein product"
97,T022506,t093326,1,975.0000,0.983565737052,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
98,T021665,t022506,1,977.0000,0.982604373757,p1@RFC5,5985,9973,"F8W9B4,A8MZ62,C9JH72,P40937,F5H0U6,F5H304,F5H5S0,Q59GW7",RFC5,"replication factor C subunit 5","gene with protein product"
99,T013692,t022506,1,975.0000,0.982098458478,p3@LMO2,4005,6642,,LMO2,"LIM domain only 2","gene with protein product"
100,T022506,t106842,1,970.0000,0.981075697211,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
101,T022506,t162460,1,973.0000,0.980616302187,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
102,T022506,t176958,1,970.0000,0.980587356894,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
103,T022506,t100180,1,970.0000,0.980587356894,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
104,T022506,t169251,1,971.0000,0.980109398309,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
105,T022506,t196201,1,969.0000,0.980089596814,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
106,T022506,t034638,1,969.0000,0.97960199005,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
107,T022506,t063630,1,969.0000,0.978142076503,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
108,T014801,t022506,1,966.0000,0.978109452736,p1@NUP160,23279,18017,E9PQY5,NUP160,"nucleoporin 160","gene with protein product"
109,T022506,t134498,1,963.0000,0.97807673144,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
110,T022506,t149363,1,961.0000,0.978054862843,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
111,T022506,t056688,1,964.0000,0.977114427861,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
112,T022506,t057497,1,963.0000,0.977103036336,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
113,T022506,t163610,1,958.0000,0.976071784646,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
114,T022506,t155139,1,959.0000,0.975111996018,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
115,T022506,t078539,1,966.0000,0.974714923153,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
116,T002927,t022506,1,959.0000,0.974626865672,p2@DCLRE1C,64421,17642,"Q96SD1,B3KMX5",DCLRE1C,"DNA cross-link repair 1C","gene with protein product"
117,T022506,t162458,1,955.0000,0.974090682611,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
118,T022506,t171576,1,952.0000,0.974051896208,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
119,T022506,t197543,1,954.0000,0.972139303483,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
120,T022506,t114719,1,953.0000,0.97212543554,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
121,T022506,t095762,1,947.0000,0.971072319202,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
122,T022506,t025898,1,947.0000,0.970588235294,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
123,T022506,t193239,1,949.0000,0.970134395222,p1@DDX55,57696,20085,"Q8NHQ9,E7EX41,F5H3E5,F5H5U2,F5H2I2,F5H735,Q8TEC9",DDX55,"DEAD-box helicase 55","gene with protein product"
