Hs-PRMT7,2000,1000,T053289-PRMT7,"p3@PRMT7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T048426,t053289,2,007.0000,1.0,p29@IGF1R,3480,5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
16,T053289,t168514,2,003.0000,0.999002493766,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
17,T026928,t053289,2,002.0000,0.999001996008,p2@GDF11,10220,4216,O95390,GDF11,"growth differentiation factor 11","gene with protein product"
18,T053289,t191243,2,001.0000,0.999001497753,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
19,T053289,t126342,2,015.0000,0.998513379584,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
20,T053289,t170320,2,006.0000,0.998506719761,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
21,T053289,t164261,2,005.0000,0.998505976096,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
22,T053289,t072001,2,003.0000,0.99850448654,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
23,T053289,t080099,2,002.0000,0.998503740648,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
24,T012184,t053289,2,004.0000,0.998007968127,p30@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
25,T053289,t094532,2,004.0000,0.998007968127,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
26,T053289,t112154,2,002.0000,0.998005982054,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
27,T053289,t094252,2,000.0000,0.998003992016,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
28,T053289,t176346,2,006.0000,0.997513674789,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
29,T053289,t109149,2,006.0000,0.997513674789,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
30,T025794,t053289,2,001.0000,0.997507477567,p2@SMARCD1,6602,11106,"F5GY02,F8VUB0",SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","gene with protein product"
31,T053289,t168195,2,002.0000,0.996019900498,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
32,T053289,t162554,2,001.0000,0.99552238806,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
33,T053289,t201771,1,998.0000,0.995515695067,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
34,T053289,t059625,1,997.0000,0.995017438964,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
35,T053289,t193248,1,999.0000,0.99304520616,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
36,T053289,t197663,1,994.0000,0.993027888446,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
37,T053289,t104296,1,991.0000,0.992027902342,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
38,T053289,t111062,1,988.0000,0.992015968064,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
39,T053289,t085076,1,997.0000,0.991559086395,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
40,T053289,t122878,1,993.0000,0.991542288557,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
41,T020521,t053289,1,996.0000,0.991062562066,p33@CKAP4,10970,16991,Q07065,CKAP4,"cytoskeleton associated protein 4","gene with protein product"
42,T024539,t053289,1,991.0000,0.991040318566,p4@TSPAN11,441631,30795,F5H195,TSPAN11,"tetraspanin 11","gene with protein product"
43,T053289,t113696,1,988.0000,0.990533134031,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
44,T053289,t155061,1,988.0000,0.989547038328,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
45,T053289,t149625,1,990.0000,0.989065606362,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
46,T001871,t053289,1,984.0000,0.989032901296,p2@NSMCE4A,54780,25935,Q9NXX6,NSMCE4A,"NSE4 homolog A, SMC5-SMC6 complex component","gene with protein product"
47,T053289,t136065,1,984.0000,0.988540109616,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
48,T053289,t058895,1,982.0000,0.988528678304,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
49,T053289,t078611,1,983.0000,0.988041853513,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
50,T050602,t053289,1,980.0000,0.98753117207,p17@MAZ,4150,6914,,MAZ,"MYC associated zinc finger protein","gene with protein product"
51,T053289,t116033,1,982.0000,0.98656047785,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
52,T053289,t076486,1,984.0000,0.985593641331,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
53,T053289,t185927,1,982.0000,0.985579313774,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
54,T053289,t058646,1,979.0000,0.985557768924,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
55,T024540,t053289,1,978.0000,0.985550572995,p2@TSPAN11,441631,30795,F5H195,TSPAN11,"tetraspanin 11","gene with protein product"
56,T053289,t087028,1,983.0000,0.985096870343,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
57,T053289,t170335,1,976.0000,0.984554060787,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
58,T053289,t145936,1,976.0000,0.982595723521,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
59,T053289,t128247,1,971.0000,0.981573705179,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
60,T053289,t170319,1,969.0000,0.981555333998,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
61,T053289,t182148,1,979.0000,0.98116013882,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
62,T053289,t188200,1,970.0000,0.981075697211,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
63,T053289,t177163,1,969.0000,0.980577689243,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
64,T053289,t126791,1,968.0000,0.980568011958,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
65,T053289,t196102,1,970.0000,0.980099502488,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
66,T053289,t060076,1,969.0000,0.980089596814,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
67,T053289,t069606,1,965.0000,0.980049875312,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
68,T012797,t053289,1,968.0000,0.979104477612,p1@DBX1,120237,33185,,DBX1,"developing brain homeobox 1","gene with protein product"
69,T053289,t087029,1,966.0000,0.979083665339,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
70,T053289,t162553,1,967.0000,0.97812033814,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
71,T031610,t053289,1,969.0000,0.977656405164,p2@CUL4A,8451,2554,Q13619,CUL4A,"cullin 4A","gene with protein product"
72,T053289,t185071,1,962.0000,0.977578475336,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
73,T053289,t094533,1,961.0000,0.977080219233,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
74,T053289,t082062,1,960.0000,0.97609561753,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
75,T053289,t152601,1,956.0000,0.976047904192,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
76,T053289,t191242,1,956.0000,0.975074775673,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
77,T016106,t053289,1,953.0000,0.974550898204,p18@SLC3A2,6520,11026,,SLC3A2,"solute carrier family 3 member 2","gene with protein product"
78,T053289,t200849,1,957.0000,0.974116475859,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
79,T053289,t087032,1,956.0000,0.974103585657,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
80,T053289,t172778,1,955.0000,0.974090682611,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
81,T053289,t094406,1,954.0000,0.9740777667,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
82,T053289,t180684,1,958.0000,0.97364495276,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
83,T016035,t053289,1,952.0000,0.973080757727,p3@TTC9C,283237,28432,"E7EST3,Q8WYY7",TTC9C,"tetratricopeptide repeat domain 9C","gene with protein product"
84,T024541,t053289,1,955.0000,0.97263681592,p3@TSPAN11,441631,30795,F5H195,TSPAN11,"tetraspanin 11","gene with protein product"
85,T053289,t134888,1,954.0000,0.97262319562,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
86,T005547,t053289,1,951.0000,0.97258225324,p12@SLC16A9,220963,23520,Q7RTY1,SLC16A9,"solute carrier family 16 member 9","gene with protein product"
87,T053289,t064441,1,953.0000,0.97212543554,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
88,T053289,t170317,1,948.0000,0.971571072319,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
89,T052883,t053289,1,947.0000,0.971556886228,p6@TK2,7084,11831,B4DZK7,TK2,"thymidine kinase 2, mitochondrial","gene with protein product"
90,T053289,t068078,1,951.0000,0.970646766169,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
91,T053289,t062817,1,947.0000,0.970588235294,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
92,T053289,t200293,1,953.0000,0.970193740686,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
93,T053289,t201682,1,945.0000,0.968625498008,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
94,T053289,t140743,1,944.0000,0.968609865471,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
95,T030976,t053289,1,939.0000,0.965637450199,p18@ZIC2,7546,12873,,ZIC2,"Zic family member 2","gene with protein product"
96,T012185,t053289,1,936.0000,0.965586034913,p20@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
97,T053289,t176183,1,935.0000,0.965087281796,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
98,T053289,t170321,1,935.0000,0.964125560538,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
99,T053289,t201683,1,932.0000,0.964071856287,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
100,T053289,t096096,1,932.0000,0.964071856287,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
101,T053289,t072002,1,932.0000,0.963591022444,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
102,T053289,t079383,1,928.0000,0.963036963037,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
103,T019852,t053289,1,929.0000,0.960657370518,p10@CCDC82,79780,26282,F5H777,CCDC82,"coiled-coil domain containing 82","gene with protein product"
104,T053289,t058931,1,927.0000,0.960618145563,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
105,T053289,t180679,1,928.0000,0.96015936255,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
106,T043674,t053289,1,927.0000,0.960139511709,p5@STARD9,57519,19162,Q9P2P6,STARD9,"StAR related lipid transfer domain containing 9","gene with protein product"
107,T053289,t095349,1,934.0000,0.959801488834,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
108,T053289,t190127,1,927.0000,0.959661354582,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
109,T053289,t076819,1,926.0000,0.95868591339,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
110,T053289,t166636,1,927.0000,0.95822973645,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
111,T053289,t100332,1,921.0000,0.958104738155,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
112,T003662,t053289,1,918.0000,0.955655206776,p2@THNSL1,79896,26160,"Q8IYQ7,Q9H6P9",THNSL1,"threonine synthase like 1","gene with protein product"
113,T053289,t093895,1,915.0000,0.955588822355,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
114,T000258,t053289,1,915.0000,0.954636091725,p14@LZTS2,84445,29381,E2QRF2,LZTS2,"leucine zipper tumor suppressor 2","gene with protein product"
115,T000925,t053289,1,913.0000,0.954590818363,p4@XPNPEP1,7511,12822,"Q9NQW7,G5E9Y2",XPNPEP1,"X-prolyl aminopeptidase 1","gene with protein product"
116,T053289,t143743,1,917.0000,0.954206072673,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
117,T053289,t114573,1,914.0000,0.954137587238,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
118,T053289,t093732,1,913.0000,0.953639082752,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
119,T034123,t053289,1,908.0000,0.951146560319,p4@MZT1,440145,33830,Q08AG7,MZT1,"mitotic spindle organizing protein 1","gene with protein product"
120,T053289,t185911,1,912.0000,0.950298210736,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
121,T053289,t163223,1,907.0000,0.950174389636,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
122,T053289,t120230,1,904.0000,0.950099800399,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
123,T053289,t074737,1,909.0000,0.949751243781,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
124,T053289,t145937,1,908.0000,0.949726231956,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
125,T053289,t101544,1,903.0000,0.948181365222,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
126,T015718,t053289,1,905.0000,0.94728990552,p10@FADS2,9415,3575,B3KNI9,FADS2,"fatty acid desaturase 2","gene with protein product"
127,T050083,t053289,1,901.0000,0.947184853014,p1@NTN3,4917,8030,O00634,NTN3,"netrin 3","gene with protein product"
128,T052693,t053289,1,901.0000,0.94671314741,p3@SETD6,79918,26116,E9PC53,SETD6,"SET domain containing 6","gene with protein product"
129,T033236,t053289,1,899.0000,0.94666001994,p1@NUFIP1,26747,8057,Q9UHK0,NUFIP1,"NUFIP1, FMR1 interacting protein 1","gene with protein product"
130,T053289,t113551,1,902.0000,0.945328031809,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
131,T053289,t162435,1,894.0000,0.945109780439,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
132,T053289,t079384,1,896.0000,0.943753111,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
133,T053289,t170337,1,893.0000,0.942729083665,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
134,T013711,t053289,1,886.0000,0.93971101146,p4@CAPRIN1,4076,6743,,CAPRIN1,"cell cycle associated protein 1","gene with protein product"
135,T053289,t131432,1,883.0000,0.937749003984,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
136,T053289,t201768,1,880.0000,0.93625498008,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
137,T026608,t053289,1,875.0000,0.935162094763,p2@HOXC11,3227,5123,O43248,HOXC11,"homeobox C11","gene with protein product"
138,T053289,t068118,1,873.0000,0.933233682113,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
139,T041235,t053289,1,871.0000,0.932701894317,p6@FOXN3,1112,1928,O00409,FOXN3,"forkhead box N3","gene with protein product"
140,T053289,t170318,1,871.0000,0.932701894317,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
141,T053289,t155330,1,872.0000,0.931343283582,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
142,T053289,t109387,1,871.0000,0.931309109009,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
143,T053289,t199693,1,873.0000,0.929990069513,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
144,T045847,t053289,1,864.0000,0.929675810474,p3@CLN6,54982,2077,E7ESV1,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant","gene with protein product"
145,T053289,t086776,1,871.0000,0.928535980149,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
146,T053289,t186839,1,866.0000,0.928358208955,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
147,T053289,t191893,1,865.0000,0.928322548532,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
148,T024133,t053289,1,862.0000,0.927752864973,p4@BCAT1,586,976,B3KY27,BCAT1,"branched chain amino acid transaminase 1","gene with protein product"
149,T053289,t201770,1,860.0000,0.925833748133,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
150,T012186,t053289,1,860.0000,0.925833748133,p22@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
151,T032886,t053289,1,859.0000,0.925335988054,p3@FREM2,341640,25396,Q5SZK8,FREM2,"FRAS1 related extracellular matrix protein 2","gene with protein product"
152,T053289,t107697,1,856.0000,0.924302788845,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
153,T053289,t184468,1,858.0000,0.923918448533,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
154,T053289,t168083,1,854.0000,0.923306772908,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
155,T013090,t053289,1,854.0000,0.923306772908,p6@C11orf21,29125,13231,Q9P2W6,C11orf21,"chromosome 11 open reading frame 21","gene with protein product"
156,T014724,t053289,1,854.0000,0.922847187656,p2@SLC39A13,91252,20859,Q96H72,SLC39A13,"solute carrier family 39 member 13","gene with protein product"
157,T053289,t184467,1,851.0000,0.922731804586,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
158,T053289,t180362,1,853.0000,0.922349427576,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
159,T053289,t200795,1,851.0000,0.921812749004,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
160,T025793,t053289,1,848.0000,0.920777279522,p3@SMARCD1,6602,11106,F8VZ70,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","gene with protein product"
161,T053289,t070170,1,847.0000,0.920279023418,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
162,T053289,t076406,1,847.0000,0.919362867098,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
163,T053289,t180084,1,842.0000,0.918245264207,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
164,T014354,t053289,1,842.0000,0.917330677291,p10@TP53I11,9537,16842,,TP53I11,"tumor protein p53 inducible protein 11","gene with protein product"
165,T053289,t087030,1,839.0000,0.916749750748,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
166,T053289,t076460,1,837.0000,0.915296462382,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
167,T053289,t189825,1,840.0000,0.914967677772,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
168,T053289,t104297,1,838.0000,0.91351888668,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
169,T014529,t053289,1,833.0000,0.913303437967,p16@MDK,4192,6972,P21741,MDK,"midkine (neurite growth-promoting factor 2)","gene with protein product"
170,T053289,t166650,1,836.0000,0.912978617603,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
171,T033962,t053289,1,831.0000,0.910945273632,p3@TDRD3,81550,20612,Q9H7E2,TDRD3,"tudor domain containing 3","gene with protein product"
172,T053289,t164258,1,829.0000,0.910856573705,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
173,T053289,t192819,1,826.0000,0.908909905426,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
174,T053289,t062106,1,827.0000,0.908503232223,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
175,T053289,t082385,1,821.0000,0.908229426434,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
176,T053289,t180686,1,823.0000,0.907868525896,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
177,T053289,t087031,1,822.0000,0.907822620827,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
178,T053289,t162013,1,818.0000,0.907638542187,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
179,T053289,t182501,1,825.0000,0.907508702138,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
180,T022236,t053289,1,823.0000,0.907416625187,p4@BCL7A,605,1004,Q4VC05,BCL7A,"BCL tumor suppressor 7A","gene with protein product"
181,T019761,t053289,1,819.0000,0.905425584868,p1@CEP57,9702,30794,"Q86XR8,F5H7J4,F5GZ93,F5H6R3,F5GXS6,F5H1B0,F5H0C6,F5H5F7",CEP57,"centrosomal protein 57","gene with protein product"
