Hs-RTN1,2000,1000,T039145-RTN1,"p5@RTN1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T018718,t039145,2,011.0000,0.999006458023,p7@PAK1,5058,8590,Q13153,PAK1,"p21 (RAC1) activated kinase 1","gene with protein product"
40,T039145,t135970,1,932.0000,0.961672473868,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
41,T039145,t157136,1,925.0000,0.960578842315,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
42,T039145,t078916,1,930.0000,0.957816377171,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
43,T007303,t039145,1,913.0000,0.953639082752,p4@ZMIZ1,57178,16493,,ZMIZ1,"zinc finger MIZ-type containing 1","gene with protein product"
44,T039145,t191714,1,905.0000,0.949177877429,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
45,T039145,t121958,1,891.0000,0.943612774451,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
46,T039145,t095763,1,896.0000,0.942814520139,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
47,T039145,t108972,1,892.0000,0.940357852883,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
48,T039145,t043747,1,885.0000,0.940149625935,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
49,T039145,t097261,1,871.0000,0.930382894083,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
50,T039145,t197949,1,867.0000,0.929318068691,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
51,T039145,t070285,1,868.0000,0.928429423459,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
52,T039145,t090275,1,864.0000,0.92736318408,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
53,T039145,t177344,1,856.0000,0.925685785536,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
54,T039145,t044446,1,859.0000,0.925335988054,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
55,T039145,t074787,1,855.0000,0.923804780876,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
56,T039145,t088963,1,854.0000,0.923306772908,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
57,T039145,t102560,1,851.0000,0.92319201995,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
58,T014501,t039145,1,852.0000,0.920934858279,p16@DGKZ,8525,2857,Q6ZVG7,DGKZ,"diacylglycerol kinase zeta","gene with protein product"
59,T007050,t039145,1,843.0000,0.918743768694,p5@KCNMA1,3778,6284,"F8WA96,Q12791",KCNMA1,"potassium calcium-activated channel subfamily M alpha 1","gene with protein product"
60,T039145,t183085,1,841.0000,0.917289486796,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
61,T039145,t081043,1,845.0000,0.91654247392,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
62,T039145,t146533,1,837.0000,0.915752741775,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
63,T039145,t095775,1,824.0000,0.907462686567,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
64,T039145,t052964,1,824.0000,0.907462686567,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
65,T039145,t064694,1,824.0000,0.907011437096,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
66,T039145,t128059,1,819.0000,0.905876494024,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
67,T039145,t162586,1,807.0000,0.899900398406,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
68,T039145,t087606,1,798.0000,0.896758104738,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
69,T037235,t039145,1,797.0000,0.894474863116,p3@AP1G2,8906,556,O75843,AP1G2,"adaptor related protein complex 1 gamma 2 subunit","gene with protein product"
70,T039145,t051345,1,792.0000,0.892874937718,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
71,T039145,t175514,1,791.0000,0.892376681614,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
72,T039145,t049951,1,796.0000,0.892200695479,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
73,T039145,t121019,1,780.0000,0.887337986042,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
74,T039145,t097622,1,780.0000,0.885131775236,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
75,T018865,t039145,1,772.0000,0.880278191754,p1@CEND1,51286,24153,Q8N111,CEND1,"cell cycle exit and neuronal differentiation 1","gene with protein product"
76,T039145,t144059,1,771.0000,0.878908188586,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
77,T013998,t039145,1,762.0000,0.878802992519,p5@SLC1A2,6506,10940,C9J9N5,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
78,T039145,t116972,1,763.0000,0.877551020408,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
79,T039145,t127361,1,761.0000,0.877428998505,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
80,T039145,t063837,1,762.0000,0.877053260329,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
81,T039145,t105729,1,760.0000,0.876930742402,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
82,T013941,t039145,1,751.0000,0.87375249501,p47@SLC1A2,6506,10940,,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
83,T039145,t152642,1,738.0000,0.864676616915,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
84,T039145,t200851,1,735.0000,0.864043824701,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
85,T039145,t147459,1,733.0000,0.860904123199,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
86,T039145,t141554,1,725.0000,0.860778443114,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
87,T022451,t039145,1,715.0000,0.855788423154,p11@CDK2AP1,8099,14002,F5GYA4,CDK2AP1,"cyclin dependent kinase 2 associated protein 1","gene with protein product"
88,T039145,t128274,1,720.0000,0.855721393035,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
89,T039145,t114752,1,704.0000,0.848183175709,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
90,T039145,t195915,1,703.0000,0.845161290323,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
91,T039145,t157135,1,700.0000,0.844510680576,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
92,T039145,t077123,1,694.0000,0.843205574913,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
93,T039145,t200209,1,688.0000,0.84147557328,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
94,T039145,t197972,1,686.0000,0.840059790732,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
95,T039145,t112207,1,679.0000,0.835739173718,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
96,T039145,t054005,1,679.0000,0.835323383085,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
97,T039145,t199675,1,672.0000,0.833499501496,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
98,T039145,t185991,1,672.0000,0.832254853161,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
99,T039145,t189727,1,662.0000,0.829341317365,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
100,T039145,t109496,1,650.0000,0.822942643392,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
101,T007645,t039145,1,642.0000,0.816915422886,p1@GRID1,2894,4575,"G3V186,A8KAN9,Q9ULK0",GRID1,"glutamate ionotropic receptor delta type subunit 1","gene with protein product"
102,T039145,t132407,1,639.0000,0.816235059761,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
103,T039145,t178874,1,621.0000,0.808075772682,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
104,T039145,t125085,1,615.0000,0.804282868526,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
105,T039145,t041295,1,613.0000,0.802487562189,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
106,T039145,t129298,1,608.0000,0.801995012469,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
107,T039145,t195892,1,610.0000,0.801792828685,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
108,T039145,t065342,1,610.0000,0.801393728223,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
109,T039145,t157504,1,596.0000,0.796009975062,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
110,T039145,t097268,1,600.0000,0.794438927507,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
111,T039145,t096190,1,594.0000,0.793824701195,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
112,T039145,t042565,1,590.0000,0.792227204783,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
113,T039145,t053901,1,586.0000,0.790234180369,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
114,T039145,t133837,1,585.0000,0.790129611167,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
115,T039145,t133174,1,582.0000,0.788241155954,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
116,T039145,t090273,1,578.0000,0.786640079761,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
117,T025104,t039145,1,580.0000,0.785678766783,p16@NELL2,4753,7751,"Q99435,B7Z2U7,B7Z9U3",NELL2,"neural EGFL like 2","gene with protein product"
118,T039145,t199458,1,579.0000,0.785572139303,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
119,T039145,t093751,1,574.0000,0.785037406484,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
120,T039145,t051654,1,576.0000,0.784469885515,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
121,T039145,t071450,1,572.0000,0.782868525896,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
122,T039145,t183094,1,573.0000,0.781032770606,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
123,T039145,t040184,1,561.0000,0.777003484321,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
124,T039145,t160883,1,554.0000,0.774289985052,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
125,T039145,t188311,1,553.0000,0.773406374502,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
126,T039145,t190561,1,553.0000,0.773406374502,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
127,T039145,t155370,1,551.0000,0.772410358566,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
128,T039145,t057819,1,550.0000,0.771912350598,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
129,T039145,t047918,1,546.0000,0.770303936223,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
130,T039145,t169108,1,544.0000,0.769307424016,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
131,T039145,t197980,1,543.0000,0.768426294821,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
132,T039145,t071656,1,541.0000,0.767430278884,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
133,T039145,t098775,1,542.0000,0.767164179104,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
134,T039145,t067701,1,536.0000,0.764940239044,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
135,T013996,t039145,1,531.0000,0.763210368893,p4@SLC1A2,6506,10940,P43004,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
136,T039145,t140458,1,527.0000,0.760458167331,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
137,T039145,t049985,1,520.0000,0.758861707439,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
138,T039145,t112827,1,521.0000,0.757470119522,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
139,T039145,t109818,1,514.0000,0.755489021956,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
140,T039145,t187109,1,515.0000,0.75485799701,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
141,T039145,t139959,1,512.0000,0.754491017964,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
142,T039145,t056973,1,502.0000,0.748380667663,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
143,T039145,t055991,1,499.0000,0.746885899352,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
144,T025757,t039145,1,498.0000,0.745644599303,p4@FAIM2,23017,17067,,FAIM2,"Fas apoptotic inhibitory molecule 2","gene with protein product"
145,T039145,t110367,1,495.0000,0.744892874938,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
146,T039145,t199970,1,489.0000,0.743013972056,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
147,T009853,t039145,1,491.0000,0.742529880478,p4@NCAM1,4684,7656,,NCAM1,"neural cell adhesion molecule 1","gene with protein product"
148,T039145,t164953,1,484.0000,0.739043824701,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
149,T029629,t039145,1,480.0000,0.738522954092,p1@NECAP1,25977,24539,"A8K3C2,F5GYH1",NECAP1,"NECAP endocytosis associated 1","gene with protein product"
150,T039145,t106967,1,477.0000,0.735557768924,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
151,T039145,t165328,1,478.0000,0.734227521113,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
152,T039145,t198215,1,472.0000,0.733432984554,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
153,T039145,t109514,1,472.0000,0.733067729084,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
154,T005622,t039145,1,467.0000,0.730577689243,p18@ANK3,288,494,Q12955,ANK3,"ankyrin 3","gene with protein product"
155,T039145,t045243,1,465.0000,0.729945191829,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
156,T016499,t039145,1,462.0000,0.72736318408,p4@APBB1,322,581,F5H0V5,APBB1,"amyloid beta precursor protein binding family B member 1","gene with protein product"
157,T039145,t190564,1,461.0000,0.72542204568,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
158,T039145,t117942,1,454.0000,0.724464374689,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
159,T039145,t110364,1,454.0000,0.724464374689,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
160,T039145,t197981,1,456.0000,0.724378109453,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
161,T019723,t039145,1,451.0000,0.722969606378,p9@ENDOD1,23052,29129,O94919,ENDOD1,"endonuclease domain containing 1","gene with protein product"
162,T039145,t194441,1,448.0000,0.722194513716,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
163,T039145,t078862,1,444.0000,0.717337307501,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
164,T039145,t055684,1,433.0000,0.714713216958,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
165,T039145,t065666,1,424.0000,0.710578842315,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
166,T039145,t135679,1,419.0000,0.707730673317,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
167,T039145,t109892,1,413.0000,0.704738154613,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
168,T039145,t173832,1,414.0000,0.703832752613,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
169,T039145,t051344,1,412.0000,0.702487562189,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
170,T025751,t039145,1,411.0000,0.702339472374,p1@FAIM2,23017,17067,"Q9BWQ8,F8VZI9",FAIM2,"Fas apoptotic inhibitory molecule 2","gene with protein product"
171,T039145,t183046,1,407.0000,0.70174563591,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
172,T025756,t039145,1,403.0000,0.699053313403,p3@FAIM2,23017,17067,Q9BWQ8,FAIM2,"Fas apoptotic inhibitory molecule 2","gene with protein product"
173,T039145,t190813,1,402.0000,0.697859631658,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
174,T039145,t126279,1,400.0000,0.696864111498,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
175,T028907,t039145,1,392.0000,0.693227091633,p2@LGR5,8549,4504,,LGR5,"leucine rich repeat containing G protein-coupled receptor 5","gene with protein product"
176,T039145,t198874,1,393.0000,0.692690203879,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
177,T039145,t060252,1,388.0000,0.68986083499,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
178,T039145,t074913,1,379.0000,0.687095166916,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
179,T039145,t070982,1,377.0000,0.685074626866,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
180,T039145,t061981,1,360.0000,0.678981527708,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
181,T039145,t197957,1,364.0000,0.678269517653,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
182,T039145,t187108,1,356.0000,0.676984523215,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
183,T039145,t134725,1,357.0000,0.676470588235,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
184,T039145,t043751,1,359.0000,0.676455948233,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
185,T017076,t039145,1,358.0000,0.675958188153,p8@CFL1,1072,1874,E9PLJ3,CFL1,"cofilin 1","gene with protein product"
186,T039145,t117371,1,354.0000,0.674638764325,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
187,T039145,t048112,1,349.0000,0.671144278607,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
188,T023604,t039145,1,349.0000,0.670144063587,p10@LMO3,55885,6643,Q8TAP4,LMO3,"LIM domain only 3","gene with protein product"
189,T039145,t057645,1,345.0000,0.669820717131,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
190,T039145,t156042,1,344.0000,0.667660208644,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
191,T010277,t039145,1,337.0000,0.667165668663,p5@FXYD6,"53826,100533181",4030,Q9H0Q3,FXYD6,"FXYD domain containing ion transport regulator 6","gene with protein product"
192,T034031,t039145,1,338.0000,0.666334661355,p14@PCDH9,5101,8661,Q5VT82,PCDH9,"protocadherin 9","gene with protein product"
193,T011876,t039145,1,328.0000,0.662344139651,p1@TOLLIP,54472,16476,"Q9H0E2,F2Z2Y8,E9PNS3,E9PQ25,B3KR28",TOLLIP,"toll interacting protein","gene with protein product"
194,T016117,t039145,1,327.0000,0.660856573705,p4@CHRM1,1128,1950,"P11229,Q53XZ3",CHRM1,"cholinergic receptor muscarinic 1","gene with protein product"
195,T039145,t050729,1,322.0000,0.660009985022,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
196,T039145,t105267,1,324.0000,0.659691081216,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
197,T039145,t110365,1,319.0000,0.657855361596,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
