T000001	chr10:100027943..100027958,-	LOXL4
T000285	chr10:102821711..102821719,+	KAZALD1
T000286	chr10:102821731..102821752,+	KAZALD1
T000288	chr10:102826125..102826157,+	KAZALD1
T000289	chr10:102826168..102826202,+	KAZALD1
T000297	chr10:102891048..102891078,+	TLX1
T000305	chr10:103113754..103113765,+	BTRC
T000306	chr10:103113786..103113799,+	BTRC
T000307	chr10:103113802..103113813,+	BTRC
T000308	chr10:103113840..103113933,+	BTRC
T000320	chr10:103347845..103347856,-	POLL
T000321	chr10:103347907..103348019,-	POLL
T000322	chr10:103348020..103348023,+	DPCD
T000323	chr10:103348031..103348092,+	DPCD
T000326	chr10:103436465..103436468,-	FBXW4
T000327	chr10:1034365..1034411,+	GTPBP4
T000329	chr10:103454876..103454962,-	FBXW4
T000340	chr10:103543145..103543177,-	NPM3
T000343	chr10:103559116..103559178,-	MGEA5
T000346	chr10:103578162..103578173,-	MGEA5
T000347	chr10:103578182..103578217,-	MGEA5
T000353	chr10:103599591..103599635,-	KCNIP2
T000355	chr10:103603534..103603566,-	KCNIP2
T000365	chr10:103815874..103815953,-	C10orf76
T000366	chr10:103815994..103816012,-	C10orf76
T000367	chr10:103825080..103825188,+	HPS6
T000368	chr10:103825190..103825233,+	HPS6
T000371	chr10:103874370..103874392,-	LDB1
T000372	chr10:103874692..103874715,-	LDB1
T000373	chr10:103874720..103874723,-	LDB1
T000374	chr10:103874747..103874767,-	LDB1
T000378	chr10:103880002..103880070,-	LDB1
T000379	chr10:103880075..103880177,-	LDB1
T000380	chr10:103880178..103880208,-	LDB1
T000381	chr10:103880209..103880284,-	LDB1
T000382	chr10:103880314..103880329,-	LDB1
T000383	chr10:103880341..103880357,-	LDB1
T000384	chr10:103880392..103880403,-	LDB1
T000385	chr10:103880410..103880421,-	LDB1
T000388	chr10:103892788..103892821,+	PPRC1
T000391	chr10:103900368..103900384,+	PPRC1
T000392	chr10:103911926..103911967,+	NOLC1
T000393	chr10:103911990..103912019,+	NOLC1
T000394	chr10:103912137..103912159,+	NOLC1
T000400	chr10:103986050..103986062,+	ELOVL3
T000401	chr10:103986082..103986116,+	ELOVL3
T000402	chr10:103986129..103986140,+	ELOVL3
T000404	chr10:104001259..104001274,-	PITX3
T000405	chr10:104001289..104001310,-	PITX3
T000406	chr10:104005272..104005302,+	GBF1
T000411	chr10:104154415..104154434,+	NFKB2
T000421	chr10:104155418..104155444,+	NFKB2
T000422	chr10:104155455..104155479,+	NFKB2
T000430	chr10:104157748..104157760,+	NFKB2
T000436	chr10:104168992..104169055,-	PSD
T000449	chr10:104180580..104180605,+	FBXL15
T000450	chr10:104180857..104180892,+	FBXL15
T000451	chr10:104180930..104180975,+	FBXL15
T000455	chr10:104192322..104192379,-	CUEDC2
T000456	chr10:104192405..104192440,-	CUEDC2
T000461	chr10:104211252..104211270,-	C10orf95
T000462	chr10:104211294..104211305,-	C10orf95
T000463	chr10:104211318..104211338,-	C10orf95
T000465	chr10:104221137..104221188,+	TMEM180
T000467	chr10:104243962..104243975,-	ACTR1A
T000470	chr10:104262426..104262437,-	ACTR1A
T000471	chr10:104262460..104262489,-	ACTR1A
T000472	chr10:104263713..104263740,+	SUFU
T000473	chr10:104263743..104263798,+	SUFU
T000474	chr10:104263955..104263973,+	SUFU
T000491	chr10:104403921..104403965,+	TRIM8
T000492	chr10:104404124..104404137,+	TRIM8
T000493	chr10:104404218..104404252,+	TRIM8
T000494	chr10:104404712..104404726,+	TRIM8
T000495	chr10:104404775..104404890,+	TRIM8
T000501	chr10:104414999..104415025,+	TRIM8
T000504	chr10:104417158..104417232,+	TRIM8
T000505	chr10:104417630..104417634,+	TRIM8
T000507	chr10:104474050..104474075,-	ARL3
T000508	chr10:104474088..104474105,-	ARL3
T000509	chr10:104474128..104474209,-	ARL3
T000510	chr10:104474207..104474258,+	SFXN2
T000511	chr10:104474353..104474405,+	SFXN2
T000514	chr10:104503696..104503726,+	C10orf26
T000515	chr10:104503727..104503748,+	C10orf26
T000519	chr10:104535934..104535945,+	C10orf26
T000521	chr10:104535965..104535989,+	C10orf26
T000524	chr10:104536119..104536129,+	C10orf26
T000527	chr10:104539577..104539616,+	C10orf26
T000534	chr10:104572838..104572867,+	C10orf26
T000535	chr10:104574264..104574269,+	C10orf26
T000546	chr10:104613980..104613989,+	C10orf32
T000547	chr10:104614008..104614042,+	C10orf32
T000549	chr10:104629199..104629262,+	AS3MT
T000550	chr10:104629450..104629461,+	AS3MT
T000552	chr10:104678032..104678094,+	CNNM2
T000553	chr10:104678102..104678119,+	CNNM2
T000554	chr10:104678244..104678271,+	CNNM2
T000555	chr10:104678290..104678316,+	CNNM2
T000559	chr10:104866395..104866421,-	NT5C2
T000562	chr10:104913066..104913124,-	NT5C2
T000565	chr10:104913332..104913343,-	NT5C2
T000566	chr10:104913346..104913363,-	NT5C2
T000567	chr10:104913367..104913393,-	NT5C2
T000572	chr10:104953009..104953061,-	NT5C2
T000577	chr10:105036887..105036903,+	INA
T000581	chr10:105037392..105037510,+	INA
T000601	chr10:105049488..105049499,+	INA
T000603	chr10:105110720..105110744,-	PCGF6
T000604	chr10:105110831..105110885,-	PCGF6
T000605	chr10:105110890..105110914,-	PCGF6
T000606	chr10:105127704..105127749,+	TAF5
T000608	chr10:105156198..105156248,-	USMG5
T000609	chr10:105156364..105156448,+	PDCD11
T000610	chr10:105156450..105156461,+	PDCD11
T000613	chr10:105211048..105211064,-	CALHM2
T000614	chr10:105211353..105211386,-	CALHM2
T000615	chr10:105212029..105212038,-	CALHM2
T000617	chr10:105212113..105212139,-	CALHM2
T000629	chr10:105254031..105254098,+	NEURL
T000635	chr10:105314806..105314834,+	NEURL
T000636	chr10:105314881..105314945,+	NEURL
T000637	chr10:105315073..105315096,+	NEURL
T000640	chr10:105344681..105344723,+	NEURL
T000641	chr10:105344728..105344737,+	NEURL
T000643	chr10:105344771..105344857,+	NEURL
T000650	chr10:105421427..105421470,-	SH3PXD2A
T000653	chr10:105428481..105428540,-	SH3PXD2A
T000656	chr10:105437909..105437989,-	SH3PXD2A
T000659	chr10:105452917..105452938,-	SH3PXD2A
T000672	chr10:105615456..105615531,-	SH3PXD2A
T000673	chr10:105615754..105615755,-	SH3PXD2A
T000683	chr10:105677381..105677409,-	OBFC1
T000685	chr10:105677503..105677526,-	OBFC1
T000686	chr10:105677535..105677580,-	OBFC1
T000687	chr10:105677759..105677790,-	OBFC1
T000688	chr10:105677886..105677995,-	OBFC1
T000690	chr10:105726862..105726986,+	SLK
T000714	chr10:105845611..105845645,-	COL17A1
T000733	chr10:105880810..105880822,+	SFR1
T000734	chr10:105880871..105880889,+	SFR1
T000742	chr10:105881851..105881897,+	SFR1
T000743	chr10:105881906..105881935,+	SFR1
T000745	chr10:105992059..105992138,-	WDR96
T000753	chr10:106013923..106013945,+	GSTO1
T000754	chr10:106014625..106014684,+	GSTO1
T000761	chr10:106028656..106028685,-	MIR4482-1
T000762	chr10:106028923..106028956,+	GSTO2
T000763	chr10:106028960..106028972,+	GSTO2
T000765	chr10:106034884..106034936,+	GSTO2
T000775	chr10:106098104..106098109,-	ITPRIP
T000777	chr10:106098189..106098232,-	ITPRIP
T000779	chr10:106098442..106098447,-	ITPRIP
T000798	chr10:106401039..106401069,+	SORCS3
T000804	chr10:1068567..1068612,+	IDI2-AS1
T000806	chr10:107445974..107445984,+	YWHAZP5
T000824	chr10:10836865..10836899,-	SFTA1P
T000838	chr10:108924352..108924364,-	SORCS1
T000839	chr10:108924452..108924471,-	SORCS1
T000854	chr10:1094342..1094359,-	IDI1
T000857	chr10:1094819..1094890,-	IDI1
T000859	chr10:1095050..1095066,-	IDI1
T000861	chr10:1095416..1095482,+	WDR37
T000875	chr10:1102303..1102379,+	WDR37
T000876	chr10:1102624..1102666,-	IDI1
T000877	chr10:1102721..1102805,+	WDR37
T000893	chr10:11047264..11047348,+	CELF2
T000899	chr10:11059826..11059932,+	CELF2
T000901	chr10:11059960..11059987,+	CELF2
T000902	chr10:11060004..11060090,+	CELF2
T000916	chr10:111629613..111629617,+	RNU4-5P
T000917	chr10:111644005..111644042,-	XPNPEP1
T000921	chr10:111674796..111674839,-	XPNPEP1
T000923	chr10:111683145..111683156,-	XPNPEP1
T000924	chr10:111683183..111683277,-	XPNPEP1
T000925	chr10:111683308..111683313,-	XPNPEP1
T000928	chr10:111756104..111756149,+	ADD3
T000929	chr10:111765576..111765583,+	ADD3
T000932	chr10:111765684..111765732,+	ADD3
T000936	chr10:111765798..111765847,+	ADD3
T000938	chr10:111767701..111767712,+	ADD3
T000939	chr10:111767726..111767752,+	ADD3
T000940	chr10:111767830..111767837,+	ADD3
T000941	chr10:111767934..111767949,+	ADD3
T000942	chr10:111767955..111767973,+	ADD3
T000943	chr10:111767980..111767995,+	ADD3
T000949	chr10:111836795..111836820,+	ADD3
T000950	chr10:111836829..111836835,+	ADD3
T000954	chr10:111883942..111883957,+	ADD3
T000963	chr10:111967317..111967328,+	MXI1
T000964	chr10:111967331..111967336,+	MXI1
T000965	chr10:111967345..111967422,+	MXI1
T000972	chr10:111985837..111985844,+	MXI1
T000973	chr10:111987079..111987115,+	MXI1
T000978	chr10:112064630..112064650,-	SMNDC1
T000979	chr10:112064654..112064663,-	SMNDC1
T000980	chr10:112064665..112064737,-	SMNDC1
T000985	chr10:11206925..11206948,+	CELF2
T000986	chr10:11207051..11207081,+	CELF2
T000987	chr10:11207088..11207095,+	CELF2
T000988	chr10:11207117..11207128,+	CELF2
T000990	chr10:11207222..11207230,+	CELF2
T000994	chr10:11207438..11207455,+	CELF2
T001019	chr10:112257172..112257206,+	DUSP5
T001024	chr10:112257656..112257671,+	DUSP5
T001025	chr10:112258159..112258175,+	DUSP5
T001028	chr10:112262478..112262490,+	DUSP5
T001034	chr10:112327425..112327516,+	SMC3
T001035	chr10:112327528..112327539,+	SMC3
T001047	chr10:112404053..112404061,+	RBM20
T001048	chr10:112404070..112404099,+	RBM20
T001052	chr10:112404196..112404221,+	RBM20
T001069	chr10:112631547..112631558,+	PDCD4
T001070	chr10:112631639..112631656,+	PDCD4
T001071	chr10:112631661..112631695,+	PDCD4
T001072	chr10:112631699..112631713,+	PDCD4
T001075	chr10:112632638..112632677,+	PDCD4
T001076	chr10:112632685..112632730,+	PDCD4
T001078	chr10:112635513..112635515,+	PDCD4
T001081	chr10:112657664..112657669,+	MIR4680
T001082	chr10:112657929..112657944,+	PDCD4
T001087	chr10:112678692..112678695,-	BBIP1
T001088	chr10:112678904..112678964,-	BBIP1
T001089	chr10:112678976..112678989,-	BBIP1
T001090	chr10:112679118..112679129,-	BBIP1
T001091	chr10:112679321..112679346,+	SHOC2
T001092	chr10:112679353..112679382,+	SHOC2
T001095	chr10:112697006..112697014,-	RPL13AP6
T001096	chr10:112723946..112723950,+	SHOC2
T001098	chr10:112836589..112836607,+	ADRA2A
T001100	chr10:112836779..112836797,+	ADRA2A
T001125	chr10:113942637..113942678,-	GPAM
T001128	chr10:113943447..113943536,-	GPAM
T001133	chr10:113975134..113975163,-	GPAM
T001148	chr10:114135004..114135033,+	ACSL5
T001153	chr10:114135571..114135585,+	ACSL5
T001158	chr10:114135952..114136022,+	ACSL5
T001160	chr10:114136055..114136067,+	ACSL5
T001171	chr10:114154671..114154685,+	ACSL5
T001176	chr10:114169348..114169360,+	ACSL5
T001179	chr10:114206494..114206520,-	ZDHHC6
T001180	chr10:114206626..114206637,-	ZDHHC6
T001181	chr10:114206649..114206688,-	ZDHHC6
T001182	chr10:114206689..114206719,-	ZDHHC6
T001183	chr10:114206722..114206787,+	VTI1A
T001184	chr10:114206956..114207040,+	VTI1A
T001185	chr10:114207295..114207313,-	ZDHHC6
T001186	chr10:114207322..114207346,-	ZDHHC6
T001192	chr10:114709983..114709990,+	TCF7L2
T001193	chr10:114709999..114710031,+	TCF7L2
T001196	chr10:114710098..114710130,+	TCF7L2
T001197	chr10:114710218..114710229,+	TCF7L2
T001198	chr10:114710244..114710257,+	TCF7L2
T001199	chr10:114710430..114710470,+	TCF7L2
T001200	chr10:114710553..114710585,+	TCF7L2
T001201	chr10:114711019..114711041,+	TCF7L2
T001224	chr10:114886630..114886640,+	TCF7L2
T001226	chr10:114889045..114889074,+	TCF7L2
T001267	chr10:115438920..115438961,+	CASP7
T001268	chr10:115438979..115438998,+	CASP7
T001269	chr10:115439033..115439039,+	CASP7
T001270	chr10:115439282..115439286,+	CASP7
T001271	chr10:115439630..115439660,+	CASP7
T001272	chr10:115439661..115439681,+	CASP7
T001273	chr10:115439703..115439712,+	CASP7
T001283	chr10:115613828..115613852,-	DCLRE1A
T001284	chr10:115614127..115614176,-	DCLRE1A
T001285	chr10:115614370..115614436,+	NHLRC2
T001286	chr10:115614503..115614514,+	NHLRC2
T001287	chr10:115614552..115614563,+	NHLRC2
T001288	chr10:115614611..115614623,+	NHLRC2
T001297	chr10:115803618..115803641,+	ADRB1
T001299	chr10:115805581..115805585,+	ADRB1
T001300	chr10:115904361..115904375,-	C10orf118
T001303	chr10:115933927..115933930,-	MIR2110
T001304	chr10:115933942..115933996,-	C10orf118
T001305	chr10:115939008..115939073,+	TDRD1
T001309	chr10:115999004..115999019,+	VWA2
T001316	chr10:116064683..116064722,-	AFAP1L2
T001319	chr10:116164244..116164268,-	AFAP1L2
T001321	chr10:116164431..116164441,-	AFAP1L2
T001322	chr10:116164450..116164493,-	AFAP1L2
T001326	chr10:116232818..116232840,-	ABLIM1
T001330	chr10:116286563..116286598,-	ABLIM1
T001332	chr10:116286656..116286693,-	ABLIM1
T001341	chr10:116391750..116391761,-	ABLIM1
T001342	chr10:116391770..116391838,-	ABLIM1
T001343	chr10:116391923..116392002,-	ABLIM1
T001345	chr10:116392045..116392056,-	ABLIM1
T001352	chr10:116444143..116444213,-	ABLIM1
T001354	chr10:116444371..116444382,-	ABLIM1
T001355	chr10:116444761..116444764,-	ABLIM1
T001359	chr10:116527956..116527970,-	ABLIM1
T001360	chr10:116527977..116528075,-	ABLIM1
T001366	chr10:116528399..116528431,-	ABLIM1
T001368	chr10:11653560..11653673,-	USP6NL
T001369	chr10:11653684..11653696,-	USP6NL
T001370	chr10:11653763..11653806,-	USP6NL
T001373	chr10:116581439..116581448,+	FAM160B1
T001374	chr10:116581513..116581570,+	FAM160B1
T001376	chr10:116697946..116698013,+	TRUB1
T001383	chr10:116853091..116853131,+	ATRNL1
T001400	chr10:117819803..117819817,-	GFRA1
T001401	chr10:117820754..117820758,-	GFRA1
T001402	chr10:11784360..11784448,+	ECHDC3
T001403	chr10:11784452..11784463,+	ECHDC3
T001404	chr10:11784468..11784479,+	ECHDC3
T001405	chr10:11784487..11784496,+	ECHDC3
T001413	chr10:118031730..118031758,-	GFRA1
T001415	chr10:118031798..118031838,-	GFRA1
T001499	chr10:118429755..118429805,-	C10orf82
T001503	chr10:118502070..118502084,-	HSPA12A
T001508	chr10:118608998..118609029,+	ENO4
T001512	chr10:11865347..11865411,+	C10orf47
T001518	chr10:118719680..118719720,-	KIAA1598
T001519	chr10:118719724..118719735,-	KIAA1598
T001520	chr10:118719743..118719755,-	KIAA1598
T001526	chr10:118764684..118764710,-	KIAA1598
T001527	chr10:118764743..118764760,-	KIAA1598
T001537	chr10:118897775..118897786,-	VAX1
T001540	chr10:118897911..118897974,-	VAX1
T001548	chr10:119000618..119000638,+	SLC18A2
T001568	chr10:119134340..119134380,-	PDZD8
T001570	chr10:119134918..119134986,-	PDZD8
T001571	chr10:119135001..119135008,-	PDZD8
T001578	chr10:119301691..119301711,-	EMX2OS
T001579	chr10:119301716..119301729,-	EMX2OS
T001580	chr10:119301735..119301746,-	EMX2OS
T001581	chr10:119301771..119301798,-	EMX2OS
T001583	chr10:119301854..119301863,-	EMX2OS
T001584	chr10:119301928..119301955,+	EMX2
T001585	chr10:119301969..119301989,-	EMX2OS
T001589	chr10:119302093..119302108,-	EMX2OS
T001593	chr10:119302232..119302265,+	EMX2
T001597	chr10:119302508..119302559,+	EMX2
T001598	chr10:119302645..119302712,+	EMX2
T001600	chr10:119303078..119303169,+	EMX2
T001602	chr10:119307702..119307723,+	EMX2
T001611	chr10:119799753..119799794,-	RAB11FIP2
T001612	chr10:119805558..119805572,-	RAB11FIP2
T001613	chr10:119806085..119806108,-	RAB11FIP2
T001614	chr10:119806121..119806158,-	RAB11FIP2
T001615	chr10:119806381..119806423,-	RAB11FIP2
T001616	chr10:119806435..119806460,-	RAB11FIP2
T001617	chr10:119806476..119806520,+	CASC2
T001623	chr10:120101443..120101454,-	FAM204A
T001624	chr10:120101779..120101791,-	FAM204A
T001625	chr10:120101804..120101843,-	FAM204A
T001634	chr10:120442897..120442902,-	C10orf46
T001636	chr10:120514468..120514530,-	C10orf46
T001647	chr10:120789223..120789231,+	NANOS1
T001653	chr10:120801808..120801823,-	EIF3A
T001654	chr10:120802000..120802019,-	EIF3A
T001658	chr10:120809438..120809499,-	EIF3A
T001671	chr10:120819141..120819169,-	EIF3A
T001677	chr10:120840292..120840303,-	EIF3A
T001678	chr10:120840309..120840338,-	EIF3A
T001681	chr10:12084770..12084830,-	UPF2
T001682	chr10:12084841..12084868,-	UPF2
T001684	chr10:120863587..120863631,+	FAM45B
T001690	chr10:120924883..120924948,-	SFXN4
T001691	chr10:120925158..120925231,-	SFXN4
T001693	chr10:120938303..120938344,-	PRDX3
T001695	chr10:120967072..120967088,+	GRK5
T001696	chr10:120967120..120967134,+	GRK5
T001697	chr10:120967193..120967217,+	GRK5
T001698	chr10:120967226..120967260,+	GRK5
T001699	chr10:120967261..120967288,+	GRK5
T001700	chr10:120967923..120967936,+	GRK5
T001710	chr10:12110929..12110940,+	DHTKD1
T001711	chr10:12110942..12110962,+	DHTKD1
T001712	chr10:12110963..12111034,+	DHTKD1
T001720	chr10:121296048..121296068,-	RGS10
T001724	chr10:121302195..121302245,-	RGS10
T001727	chr10:121335228..121335256,-	TIAL1
T001729	chr10:121356136..121356147,-	TIAL1
T001730	chr10:121356150..121356207,-	TIAL1
T001731	chr10:121356208..121356219,-	TIAL1
T001732	chr10:121356288..121356299,-	TIAL1
T001733	chr10:121356404..121356415,-	TIAL1
T001734	chr10:121356466..121356482,-	TIAL1
T001735	chr10:121356487..121356510,-	TIAL1
T001736	chr10:121356518..121356556,-	TIAL1
T001739	chr10:121410884..121410902,+	BAG3
T001741	chr10:121410963..121410976,+	BAG3
T001742	chr10:121410987..121411001,+	BAG3
T001743	chr10:121411027..121411036,+	BAG3
T001744	chr10:121411047..121411059,+	BAG3
T001745	chr10:121411071..121411091,+	BAG3
T001755	chr10:121485554..121485584,+	INPP5F
T001756	chr10:121485588..121485627,+	INPP5F
T001757	chr10:121485630..121485669,+	INPP5F
T001760	chr10:121578211..121578248,+	INPP5F
T001762	chr10:121578756..121578786,+	INPP5F
T001768	chr10:121632308..121632319,-	MCMBP
T001769	chr10:121632344..121632418,-	MCMBP
T001771	chr10:121633071..121633099,-	MCMBP
T001772	chr10:121652104..121652115,+	SEC23IP
T001773	chr10:121652124..121652136,+	SEC23IP
T001774	chr10:121652192..121652203,+	SEC23IP
T001775	chr10:121652204..121652286,+	SEC23IP
T001776	chr10:12171641..12171720,+	SEC61A2
T001777	chr10:12171721..12171732,+	SEC61A2
T001787	chr10:12198986..12199025,+	SEC61A2
T001797	chr10:122216707..122216790,+	PPAPDC1A
T001798	chr10:12237820..12237834,-	NUDT5
T001799	chr10:12237836..12237900,-	NUDT5
T001800	chr10:12237908..12237921,+	CDC123
T001801	chr10:12237924..12237982,+	CDC123
T001802	chr10:12238071..12238154,-	NUDT5
T001803	chr10:12238171..12238241,+	CDC123
T001811	chr10:122610796..122610809,+	WDR11
T001812	chr10:122610811..122610822,+	WDR11
T001813	chr10:122610853..122610924,+	WDR11
T001814	chr10:122610940..122610949,+	WDR11
T001816	chr10:122611224..122611295,+	WDR11
T001826	chr10:12288145..12288160,+	CDC123
T001849	chr10:123357913..123357975,-	FGFR2
T001852	chr10:123358187..123358202,-	FGFR2
T001860	chr10:123687399..123687421,-	ATE1
T001861	chr10:123687431..123687446,-	ATE1
T001862	chr10:123687474..123687490,-	ATE1
T001863	chr10:123687497..123687562,-	ATE1
T001867	chr10:123687943..123687997,-	ATE1
T001869	chr10:123734263..123734333,-	NSMCE4A
T001870	chr10:123734683..123734738,-	NSMCE4A
T001871	chr10:123734766..123734779,-	NSMCE4A
T001886	chr10:123779269..123779314,+	TACC2
T001895	chr10:123872261..123872284,+	TACC2
T001896	chr10:123872391..123872432,+	TACC2
T001897	chr10:123872434..123872449,+	TACC2
T001898	chr10:123872483..123872573,+	TACC2
T001899	chr10:123872580..123872589,+	TACC2
T001900	chr10:123872686..123872692,+	TACC2
T001902	chr10:123886537..123886542,+	TACC2
T001904	chr10:12391233..12391265,+	CAMK1D
T001905	chr10:12391532..12391584,+	CAMK1D
T001906	chr10:12391599..12391612,+	CAMK1D
T001907	chr10:12391651..12391664,+	CAMK1D
T001909	chr10:12391685..12391734,+	CAMK1D
T001910	chr10:12391782..12391815,+	CAMK1D
T001911	chr10:12391823..12391832,+	CAMK1D
T001913	chr10:123923111..123923160,+	TACC2
T001915	chr10:123923205..123923292,+	TACC2
T001923	chr10:123970128..123970137,+	TACC2
T001924	chr10:123970670..123970704,+	TACC2
T001936	chr10:124134136..124134153,+	PLEKHA1
T001937	chr10:124134155..124134196,+	PLEKHA1
T001938	chr10:124134201..124134282,+	PLEKHA1
T001939	chr10:124134803..124134859,+	PLEKHA1
T001946	chr10:124221082..124221140,+	HTRA1
T001982	chr10:124639062..124639113,-	FAM24B
T001989	chr10:124713698..124713749,-	C10orf88
T001990	chr10:124713842..124713853,-	C10orf88
T001991	chr10:124713933..124714023,+	PSTK
T001992	chr10:124739911..124739957,+	PSTK
T001993	chr10:124739964..124739977,+	PSTK
T001994	chr10:124768217..124768228,-	IKZF5
T001995	chr10:124768300..124768334,-	IKZF5
T001996	chr10:124768456..124768465,+	ACADSB
T001997	chr10:124768466..124768477,+	ACADSB
T001998	chr10:124768482..124768542,+	ACADSB
T002002	chr10:124895227..124895241,+	HMX3
T002003	chr10:124895472..124895508,+	HMX3
T002014	chr10:124913880..124913927,+	BUB3
T002015	chr10:124913930..124913946,+	BUB3
T002016	chr10:124914285..124914397,+	BUB3
T002017	chr10:124914401..124914460,+	BUB3
T002018	chr10:124914508..124914521,+	BUB3
T002037	chr10:125651258..125651355,-	CPXM2
T002060	chr10:125805382..125805387,-	CHST15
T002067	chr10:125851961..125851968,-	CHST15
T002068	chr10:125851973..125851978,-	CHST15
T002075	chr10:125853048..125853095,-	CHST15
T002077	chr10:125853200..125853208,-	CHST15
T002103	chr10:126100624..126100638,-	OAT
T002104	chr10:126103639..126103644,-	OAT
T002105	chr10:126107482..126107501,-	OAT
T002109	chr10:126138597..126138612,-	NKX1-2
T002111	chr10:126150369..126150437,+	LHPP
T002113	chr10:126179178..126179186,-	RPS10P18
T002154	chr10:126432670..126432723,-	FAM53B
T002156	chr10:126432821..126432847,-	FAM53B
T002157	chr10:126432849..126432931,-	FAM53B
T002159	chr10:126432968..126432979,-	FAM53B
T002161	chr10:126480381..126480470,-	METTL10
T002163	chr10:126490369..126490395,+	FAM175B
T002188	chr10:126847276..126847294,-	CTBP2
T002189	chr10:126847336..126847351,-	CTBP2
T002192	chr10:126847736..126847753,-	CTBP2
T002194	chr10:126848502..126848532,-	CTBP2
T002195	chr10:126848909..126848930,-	CTBP2
T002196	chr10:126848947..126848961,-	CTBP2
T002197	chr10:126849085..126849138,-	CTBP2
T002198	chr10:126849588..126849614,-	CTBP2
T002199	chr10:126849626..126849633,-	CTBP2
T002209	chr10:127356632..127356638,-	ALDOAP2
T002217	chr10:127408263..127408308,+	C10orf137
T002218	chr10:127408315..127408326,+	C10orf137
T002222	chr10:127483803..127483859,-	UROS
