"entrezgene_id","hgnc_id","uniprot_id","gene_name","description","type"
"e:5349","h:4027","Q14802","FXYD3","FXYD domain containing ion transport regulator 3","gene with protein product"
"e:84986","h:23724","","ARHGAP19","Rho GTPase activating protein 19","gene with protein product"
"e:10000","h:393","Q9Y243","AKT3","AKT serine/threonine kinase 3","gene with protein product"
"e:92609","h:23656","Q330K1","TIMM50","translocase of inner mitochondrial membrane 50","gene with protein product"
"e:2670","h:4235","","GFAP","glial fibrillary acidic protein","gene with protein product"
"e:5891","h:9833","","MOK","MOK protein kinase","gene with protein product"
"e:23483","h:20324","O95455,Q05DQ3,Q2TU31","TGDS","TDP-glucose 4,6-dehydratase","gene with protein product"
"e:2118","h:3493","","ETV4","ETS variant 4","gene with protein product"
"e:1299","h:2219","Q14050","COL9A3","collagen type IX alpha 3 chain","gene with protein product"
"e:203238","h:29828","","CCDC171","coiled-coil domain containing 171","gene with protein product"
"e:2534","h:4037","B3KPS6","FYN","FYN proto-oncogene, Src family tyrosine kinase","gene with protein product"
"e:677850","h:32677","F2Z347","SNORD1C","small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
"e:8190","h:7076","Q16674","MIA","melanoma inhibitory activity","gene with protein product"
"e:79004","h:28352","Q9H467","CUEDC2","CUE domain containing 2","gene with protein product"
"e:57576","h:19167","","KIF17","kinesin family member 17","gene with protein product"
"e:27445","h:13406","Q9Y6V0","PCLO","piccolo presynaptic cytomatrix protein","gene with protein product"
"e:1827","h:3040","P53805","RCAN1","regulator of calcineurin 1","gene with protein product"
"e:117145","h:17947","F6XC58","THEM4","thioesterase superfamily member 4","gene with protein product"
"e:3357","h:5294","P41595","HTR2B","5-hydroxytryptamine receptor 2B","gene with protein product"
"e:5590","h:9412","F2Z2H9","PRKCZ","protein kinase C zeta","gene with protein product"
"e:118611","h:26563","F5GZL2","C10orf90","chromosome 10 open reading frame 90","gene with protein product"
"e:3200","h:5104","E5RGW8,E5RIJ8","HOXA3","homeobox A3","gene with protein product"
"e:374887","h:24785","A6XGL0","YJEFN3","YjeF N-terminal domain containing 3","gene with protein product"
"e:3202","h:5106","P20719","HOXA5","homeobox A5","gene with protein product"
"e:2617","h:4162","","GARS","glycyl-tRNA synthetase","gene with protein product"
"e:51022","h:16065","Q9NS18","GLRX2","glutaredoxin 2","gene with protein product"
"e:4589","h:7518","Q8TAX7","MUC7","mucin 7, secreted","gene with protein product"
"e:687","h:1123","Q13886","KLF9","Kruppel like factor 9","gene with protein product"
"e:3202","h:5106","P20719,Q6FG31","HOXA5","homeobox A5","gene with protein product"
"e:90627","h:19164","Q9Y3M8","STARD13","StAR related lipid transfer domain containing 13","gene with protein product"
"e:3223,e:3221","h:5128,h:5126","","HOXC6","homeobox C6","gene with protein product"
"e:10150","h:16746","Q5VZF2","MBNL2","muscleblind like splicing regulator 2","gene with protein product"
"e:754","h:13524","","PTTG1IP","pituitary tumor-transforming 1 interacting protein","gene with protein product"
"e:287","h:493","D6R9U4","ANK2","ankyrin 2","gene with protein product"
"e:5026","h:8536","","P2RX5","purinergic receptor P2X 5","gene with protein product"
"e:89927","h:19213","Q96MC5","C16orf45","chromosome 16 open reading frame 45","gene with protein product"
"e:80067","h:25784","","DCAF17","DDB1 and CUL4 associated factor 17","gene with protein product"
"e:92747","h:16108","","BPIFB1","BPI fold containing family B member 1","gene with protein product"
"e:100616104","h:39047","","ERVFH21-1","endogenous retrovirus group FH21 member 1","endogenous retrovirus"
"e:440163","h:25285","Q5GAN3","RNASE13","ribonuclease A family member 13 (inactive)","gene with protein product"
"","h:27537","","FBXL22","F-box and leucine rich repeat protein 22","gene with protein product"
"e:7135","h:11945","P19237,F6RZ19","TNNI1","troponin I1, slow skeletal type","gene with protein product"
"e:727758","h:37832","","ROCK1P1","Rho associated coiled-coil containing protein kinase 1 pseudogene 1","pseudogene"
"e:25937","h:24042","Q9GZV5","WWTR1","WW domain containing transcription regulator 1","gene with protein product"
"e:54434","h:30579","F8W1D9","SSH1","slingshot protein phosphatase 1","gene with protein product"
"e:2926","h:4610","B3KP14","GRSF1","G-rich RNA sequence binding factor 1","gene with protein product"
"e:80835","h:14448","","TAS1R1","taste 1 receptor member 1","gene with protein product"
"e:79710","h:23485","","MORC4","MORC family CW-type zinc finger 4","gene with protein product"
"e:3141","h:4976","C9JD75,P50747","HLCS","holocarboxylase synthetase","gene with protein product"
"e:10891","h:9237","","PPARGC1A","PPARG coactivator 1 alpha","gene with protein product"
"e:313","h:548","","AOAH","acyloxyacyl hydrolase","gene with protein product"
"e:51252","h:28036","F8W6I6,B3KV66,E9PD86,Q8IXR5","FAM178B","family with sequence similarity 178 member B","gene with protein product"
"e:112858","h:16197","Q5JZ02","TP53RK","TP53 regulating kinase","gene with protein product"
"e:7135","h:11945","G3V4F8","TNNI1","troponin I1, slow skeletal type","gene with protein product"
"e:401","h:691","","PHOX2A","paired like homeobox 2a","gene with protein product"
"e:8611","h:9228","","PLPP1","phospholipid phosphatase 1","gene with protein product"
"e:117145","h:17947","","THEM4","thioesterase superfamily member 4","gene with protein product"
"e:967","h:1692","F8VV56","CD63","CD63 molecule","gene with protein product"
"e:3685","h:6150","","ITGAV","integrin subunit alpha V","gene with protein product"
"e:7168","h:12010","","TPM1","tropomyosin 1 (alpha)","gene with protein product"
"e:3233","h:5138","","HOXD4","homeobox D4","gene with protein product"
"e:23327","h:7728","B7Z6K0,Q96PU5","NEDD4L","neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase","gene with protein product"
"e:4627","h:7579","","MYH9","myosin heavy chain 9","gene with protein product"
"e:4317","h:7175","E9PJB3","MMP8","matrix metallopeptidase 8","gene with protein product"
"e:1836","h:10994","C9JAN6","SLC26A2","solute carrier family 26 member 2","gene with protein product"
"e:3897","h:6470","P32004","L1CAM","L1 cell adhesion molecule","gene with protein product"
"e:6284","h:10490","","S100A13","S100 calcium binding protein A13","gene with protein product"
"e:23683","h:9408","","PRKD3","protein kinase D3","gene with protein product"
"e:51252","h:28036","E9PD86","FAM178B","family with sequence similarity 178 member B","gene with protein product"
"e:55806","h:5172","O43593","HR","HR, lysine demethylase and nuclear receptor corepressor","gene with protein product"
"e:6258","h:10479","","RXRG","retinoid X receptor gamma","gene with protein product"
"e:112858","h:16197","Q96S44","TP53RK","TP53 regulating kinase","gene with protein product"
"e:114757","h:16505","","CYGB","cytoglobin","gene with protein product"
"e:9120","h:10927","O15403","SLC16A6","solute carrier family 16 member 6","gene with protein product"
"e:200232","h:16100","","FAM209A","family with sequence similarity 209 member A","gene with protein product"
"e:6629","h:11155","","SNRPB2","small nuclear ribonucleoprotein polypeptide B2","gene with protein product"
"e:26297","h:17499","","SERGEF","secretion regulating guanine nucleotide exchange factor","gene with protein product"
"e:8379","h:6762","C9JKI7","MAD1L1","MAD1 mitotic arrest deficient like 1","gene with protein product"
"e:11000","h:10997","Q5K4L6","SLC27A3","solute carrier family 27 member 3","gene with protein product"
"e:93426","h:28852","","SYCE1","synaptonemal complex central element protein 1","gene with protein product"
"e:5270","h:8951","","SERPINE2","serpin family E member 2","gene with protein product"
"e:23683","h:9408","O94806","PRKD3","protein kinase D3","gene with protein product"
"e:8985","h:9083","F5H723","PLOD3","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","gene with protein product"
"e:129025","h:18597","P59817,B3KS93","ZNF280A","zinc finger protein 280A","gene with protein product"
"e:6284","h:10490","Q99584","S100A13","S100 calcium binding protein A13","gene with protein product"
"e:554251","h:33857","Q5FWF7","FBXO48","F-box protein 48","gene with protein product"
"e:54469","h:30164","","ZFAND6","zinc finger AN1-type containing 6","gene with protein product"
"e:586","h:976","","BCAT1","branched chain amino acid transaminase 1","gene with protein product"
"e:93343","h:25153","","MVB12A","multivesicular body subunit 12A","gene with protein product"
"e:55654","h:26038","C9J4H2","TMEM127","transmembrane protein 127","gene with protein product"
"e:10845","h:2088","O76031","CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit","gene with protein product"
"e:9221","h:15608","Q14978,Q96J17","NOLC1","nucleolar and coiled-body phosphoprotein 1","gene with protein product"
"e:153241","h:26690","","CEP120","centrosomal protein 120","gene with protein product"
"","h:32688","","SNHG1","small nucleolar RNA host gene 1","RNA, long non-coding"
"e:3303,e:3304","h:5232,h:5233","P08107,A8K5I0,B3KTT5","HSPA1A","heat shock protein family A (Hsp70) member 1A","gene with protein product"
"e:26007","h:24552","","TKFC","triokinase and FMN cyclase","gene with protein product"
"e:54619","h:23434","","CCNJ","cyclin J","gene with protein product"
"e:83938","h:23405","","C10orf11","chromosome 10 open reading frame 11","gene with protein product"
"e:3164","h:7980","","NR4A1","nuclear receptor subfamily 4 group A member 1","gene with protein product"
"e:25871","h:24496","C9J9E3","NEPRO","nucleolus and neural progenitor protein","gene with protein product"
"e:23313","h:1314","B0AZU2","KIAA0930","KIAA0930","gene with protein product"
"e:9021","h:19391","O14543","SOCS3","suppressor of cytokine signaling 3","gene with protein product"
"e:266727","h:19267","","MDGA1","MAM domain containing glycosylphosphatidylinositol anchor 1","gene with protein product"
"e:284129","h:14471","Q86WA9","SLC26A11","solute carrier family 26 member 11","gene with protein product"
"e:441161","h:21382","C9J915","OOEP","oocyte expressed protein","gene with protein product"
"e:10114","h:4915","E9PKD7","HIPK3","homeodomain interacting protein kinase 3","gene with protein product"
"e:54869","h:21295","Q8TE68","EPS8L1","EPS8 like 1","gene with protein product"
"","h:41252","","PEX5L-AS2","PEX5L antisense RNA 2","RNA, long non-coding"
"e:407037","h:31632","","MIR320A","microRNA 320a","RNA, micro"
"e:7862","h:14255","C9JHC0","BRPF1","bromodomain and PHD finger containing 1","gene with protein product"
"e:6988","h:11692","P57738","TCTA","T-cell leukemia translocation altered","gene with protein product"
"e:29110","h:11584","Q9UHD2","TBK1","TANK binding kinase 1","gene with protein product"
"e:57701","h:29321","Q9HCH0,E2QRB5","NCKAP5L","NCK associated protein 5 like","gene with protein product"
"e:22848","h:19679","","AAK1","AP2 associated kinase 1","gene with protein product"
"e:126549","h:26812","Q8NAG6,B4E124","ANKLE1","ankyrin repeat and LEM domain containing 1","gene with protein product"
"e:55972","h:29680","","SLC25A40","solute carrier family 25 member 40","gene with protein product"
"e:79132","h:29517","Q96C10","DHX58","DExH-box helicase 58","gene with protein product"
"e:55884","h:19222","","WSB2","WD repeat and SOCS box containing 2","gene with protein product"
"e:84193","h:20493","Q86TU7,A0PJU3","SETD3","SET domain containing 3","gene with protein product"
"e:4155","h:6925","","MBP","myelin basic protein","gene with protein product"
"e:79745","h:26108","A8K6D0,Q8N3C7","CLIP4","CAP-Gly domain containing linker protein family member 4","gene with protein product"
"e:100422899","h:38190","","MIR3190","microRNA 3190","RNA, micro"
"e:23313","h:1314","B0QY20","KIAA0930","KIAA0930","gene with protein product"
"e:284406","h:28682","F5H4L8","ZFP82","ZFP82 zinc finger protein","gene with protein product"
"e:152641","h:26390","Q96NR7","WWC2-AS2","WWC2 antisense RNA 2","RNA, long non-coding"
"e:4285","h:7104","","MIPEP","mitochondrial intermediate peptidase","gene with protein product"
"e:115004","h:21367","","MB21D1","Mab-21 domain containing 1","gene with protein product"
"","h:42876","","CBX3P4","chromobox 3 pseudogene 4","pseudogene"
"e:79780","h:26282","","CCDC82","coiled-coil domain containing 82","gene with protein product"
"e:6574","h:10946","Q8WUM9,A7LNJ1","SLC20A1","solute carrier family 20 member 1","gene with protein product"
"e:5133","h:8760","E7ER21","PDCD1","programmed cell death 1","gene with protein product"
"e:3621","h:6062","Q9UK53","ING1","inhibitor of growth family member 1","gene with protein product"
"e:93035","h:20313","","PKHD1L1","polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1","gene with protein product"
"e:8997","h:4814","","KALRN","kalirin, RhoGEF kinase","gene with protein product"
"e:115939","h:14175","Q9UJK0","TSR3","TSR3, acp transferase ribosome maturation factor","gene with protein product"
"e:140706","h:16153","","CCM2L","CCM2 like scaffolding protein","gene with protein product"
"e:29101","h:25016","Q9NP77","SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase","gene with protein product"
"e:57448","h:13516","Q9NR09","BIRC6","baculoviral IAP repeat containing 6","gene with protein product"
"e:3157","h:5007","D6RIW1","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1","gene with protein product"
"e:6507","h:10941","","SLC1A3","solute carrier family 1 member 3","gene with protein product"
"e:29","h:81","F5H8B3","ABR","active BCR-related","gene with protein product"
"e:23503","h:20761","","ZFYVE26","zinc finger FYVE-type containing 26","gene with protein product"
"e:7188","h:12035","","TRAF5","TNF receptor associated factor 5","gene with protein product"
"e:79974","h:26159","A4D0V7","CPED1","cadherin like and PC-esterase domain containing 1","gene with protein product"
"e:2651","h:4204","","GCNT2","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)","gene with protein product"
"e:8694","h:2843","O75907","DGAT1","diacylglycerol O-acyltransferase 1","gene with protein product"
"e:6875","h:11538","Q92750,F5H0K4","TAF4B","TATA-box binding protein associated factor 4b","gene with protein product"
"e:8764","h:11912","F6Q0M4","TNFRSF14","TNF receptor superfamily member 14","gene with protein product"
"e:64772","h:24622","F8W925,Q8NFI3","ENGASE","endo-beta-N-acetylglucosaminidase","gene with protein product"
"e:3988","h:6617","E7EUT7","LIPA","lipase A, lysosomal acid type","gene with protein product"
"e:9775","h:18683","","EIF4A3","eukaryotic translation initiation factor 4A3","gene with protein product"
"e:93082","h:25162","","NEURL3","neuralized E3 ubiquitin protein ligase 3","gene with protein product"
"e:55975","h:15646","B7Z3P9","KLHL7","kelch like family member 7","gene with protein product"
"e:51070","h:17946","Q9Y314","NOSIP","nitric oxide synthase interacting protein","gene with protein product"
"e:490","h:814","P20020","ATP2B1","ATPase plasma membrane Ca2+ transporting 1","gene with protein product"
"e:11234","h:17022","G3V159","HPS5","HPS5, biogenesis of lysosomal organelles complex 2 subunit 2","gene with protein product"
"e:55075","h:15947","","UACA","uveal autoantigen with coiled-coil domains and ankyrin repeats","gene with protein product"
"e:79921","h:26121","","TCEAL4","transcription elongation factor A like 4","gene with protein product"
"e:55761","h:25596","Q8NEC0","TTC17","tetratricopeptide repeat domain 17","gene with protein product"
"e:28996","h:14402","Q9H2X6","HIPK2","homeodomain interacting protein kinase 2","gene with protein product"
"e:55967","h:23987","","NDUFA12","NADH:ubiquinone oxidoreductase subunit A12","gene with protein product"
"e:79085","h:19375","","SLC25A23","solute carrier family 25 member 23","gene with protein product"
"e:5507","h:9293","","PPP1R3C","protein phosphatase 1 regulatory subunit 3C","gene with protein product"
"e:984","h:1729","P21127","CDK11B","cyclin dependent kinase 11B","gene with protein product"
"e:8847","h:13748","","DLEU2","deleted in lymphocytic leukemia 2 (non-protein coding)","RNA, long non-coding"
"e:151887","h:30649","","CCDC80","coiled-coil domain containing 80","gene with protein product"
"e:11259","h:24589","","FILIP1L","filamin A interacting protein 1 like","gene with protein product"
"e:51773","h:18118","Q05DG0,Q96T23","RSF1","remodeling and spacing factor 1","gene with protein product"
"e:6767","h:11343","Q3KNR6","ST13","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)","gene with protein product"
"e:10402","h:18080","","ST3GAL6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6","gene with protein product"
"e:219285","h:1349","Q8IVG5","SAMD9L","sterile alpha motif domain containing 9 like","gene with protein product"
"e:636","h:1049","F8W056","BICD1","BICD cargo adaptor 1","gene with protein product"
"e:23187","h:23697","Q96SW0","PHLDB1","pleckstrin homology like domain family B member 1","gene with protein product"
"e:84629","h:11962","","TNRC18","trinucleotide repeat containing 18","gene with protein product"
"e:8661","h:3271","","EIF3A","eukaryotic translation initiation factor 3 subunit A","gene with protein product"
"e:11336","h:30378","O60645","EXOC3","exocyst complex component 3","gene with protein product"
"e:54739","h:30932","","XAF1","XIAP associated factor 1","gene with protein product"
"e:1977","h:3287","","EIF4E","eukaryotic translation initiation factor 4E","gene with protein product"
"e:54103","h:28042","","GSAP","gamma-secretase activating protein","gene with protein product"
"e:2664","h:4226","","GDI1","GDP dissociation inhibitor 1","gene with protein product"
"e:3488","h:5474","","IGFBP5","insulin like growth factor binding protein 5","gene with protein product"
"e:5426","h:9177","E9PHF9,Q96IE1","POLE","DNA polymerase epsilon, catalytic subunit","gene with protein product"
"e:11155","h:15710","","LDB3","LIM domain binding 3","gene with protein product"
"e:8165","h:367","Q92667,B4DN86","AKAP1","A-kinase anchoring protein 1","gene with protein product"
"e:11346","h:30672","Q8N3V7","SYNPO","synaptopodin","gene with protein product"
"e:27236","h:21496","","ARFIP1","ADP ribosylation factor interacting protein 1","gene with protein product"
"e:51574","h:24912","","LARP7","La ribonucleoprotein domain family member 7","gene with protein product"
"e:7273","h:12403","","TTN","titin","gene with protein product"
"","h:12099","","HSP90B2P","heat shock protein 90 beta family member 2, pseudogene","pseudogene"
"e:55249","h:30935","B4DZQ4","YY1AP1","YY1 associated protein 1","gene with protein product"
"e:9659","h:15580","E9PRJ6","PDE4DIP","phosphodiesterase 4D interacting protein","gene with protein product"
"e:490","h:814","","ATP2B1","ATPase plasma membrane Ca2+ transporting 1","gene with protein product"
"e:3098","h:4922","P19367","HK1","hexokinase 1","gene with protein product"
"e:140691","h:17857","Q86WT6","TRIM69","tripartite motif containing 69","gene with protein product"
"e:4982","h:11909","O00300","TNFRSF11B","TNF receptor superfamily member 11b","gene with protein product"
"e:376940","h:24762","F5H110","ZC3H6","zinc finger CCCH-type containing 6","gene with protein product"
"","h:6539","","LDHAP4","lactate dehydrogenase A pseudogene 4","pseudogene"
"e:10241","h:29912","E7ETP5,B4DP36,E7ENK0,D6RJE7,E9PBE5,D6REB0","CALCOCO2","calcium binding and coiled-coil domain 2","gene with protein product"
"e:2635","h:4184","","GBP3","guanylate binding protein 3","gene with protein product"
"e:6043","h:10106","","SNORA63","small nucleolar RNA, H/ACA box 63","RNA, small nucleolar"
"e:9659","h:15580","E9PNE0","PDE4DIP","phosphodiesterase 4D interacting protein","gene with protein product"
"e:57484","h:23138","Q9ULK6","RNF150","ring finger protein 150","gene with protein product"
"e:5260","h:8930","F8WD25,C9J2Q6,C9JME8,F5H2S1,B7Z5U3","PHKG1","phosphorylase kinase catalytic subunit gamma 1","gene with protein product"
"e:23371","h:19737","Q63HR2","TNS2","tensin 2","gene with protein product"
"e:91624","h:29557","","NEXN","nexilin F-actin binding protein","gene with protein product"
"e:10569","h:16939","","SLU7","SLU7 homolog, splicing factor","gene with protein product"
"e:3188","h:5042","","HNRNPH2","heterogeneous nuclear ribonucleoprotein H2","gene with protein product"
"e:7812","h:29905","G5E9Q2","CSDE1","cold shock domain containing E1","gene with protein product"
"e:3176","h:5028","Q9BRW6","HNMT","histamine N-methyltransferase","gene with protein product"
"e:7132","h:11916","","TNFRSF1A","TNF receptor superfamily member 1A","gene with protein product"
"e:29766","h:11873","","TMOD3","tropomodulin 3","gene with protein product"
"e:5291","h:8976","","PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","gene with protein product"
"e:7913","h:2768","","DEK","DEK proto-oncogene","gene with protein product"
"e:1514","h:2537","P07711","CTSL","cathepsin L","gene with protein product"
"e:25932","h:13518","","CLIC4","chloride intracellular channel 4","gene with protein product"
"e:55802","h:18714","","DCP1A","decapping mRNA 1A","gene with protein product"
"e:127933","h:19683","Q8TAS1","UHMK1","U2AF homology motif kinase 1","gene with protein product"
"e:55773","h:25622","C9JAM5","TBC1D23","TBC1 domain family member 23","gene with protein product"
"e:2778","h:4392","","GNAS","GNAS complex locus","gene with protein product"
"e:2782","h:4396","","GNB1","G protein subunit beta 1","gene with protein product"
