"V1","V2"
"MLKL","2.55869"
"BUB3","2.55659"
"LAG3","2.53566"
"GAGE7","2.52567"
"CATSPERD","2.51727"
"APOF","2.51432"
"CLEC2B","2.49997"
"FERMT3","2.49262"
"HEXIM1","2.48477"
"SLC39A14","2.4792"
"TYMP","2.46789"
"NCOA7","2.46479"
"IRF9","2.46426"
"FLJ21408","2.45894"
"YEATS2","2.45167"
"NTSR1","2.44446"
"GFRA4","2.44348"
"GPR65","2.43675"
"TNFSF15","2.43447"
"CXCL11","2.4232"
"CLDND2","2.41458"
"TPTE2P2","2.40551"
"UBASH3A","2.40537"
"HSH2D","2.40326"
"LOC729652","2.39608"
"TRIM22","2.38497"
"PRO2852","2.38193"
"ABL2","2.37915"
"PKLR","2.37266"
"BNIP3L","2.37239"
"MATK","2.37028"
"LOC644135","2.36542"
"LOC388242","2.36532"
"TRIM25","2.35494"
"ZC3H12A","2.3235"
"SLC8A3","2.31761"
"RTP4","2.31558"
"PARP14","2.30988"
"TXNL4A","2.3067"
"LOC100131929","2.2915"
"KIF3C","2.29015"
"IL1RAPL1","2.27024"
"FBXW2","2.25852"
"DDX21","2.25508"
"NFKB2","2.2499"
"CD69","2.24969"
"IRF7","2.24736"
"NDUFB6","2.23655"
"NXT1","2.22824"
"NUAK1","2.2263"
"XBP1","2.21151"
"BLID","2.20815"
"SLC25A44","2.19525"
"HES4","2.19461"
"PIGP","2.17855"
"GABRA6","2.17759"
"FAM219B","2.17704"
"LOC100505592","2.16723"
"TSEN54","2.16657"
"ECT2","2.16243"
"ERCC4","2.16101"
"HERC6","2.16009"
"NOL11","2.15541"
"THEMIS2","2.15026"
"SAP30BP","2.14808"
"RSAD2","2.14683"
"RNF183","2.13921"
"LOC100507639","2.13036"
"KRT34","2.12756"
"TAP1","2.12728"
"SNAI2","2.12186"
"LOC158960","2.12023"
"GPR85","2.11811"
"APOL3","2.11407"
"TREM2","2.10071"
"IFITM1","2.10038"
"SOCS1","2.09787"
"PHLDB2","2.07336"
"SOST","2.0726"
"LOC100131510","2.0698"
"TLK2","2.06793"
"SLC39A11","2.05714"
"PF4","2.04623"
"TAC3","2.04518"
"FHL5","2.04294"
"SLC38A2","2.04085"
"PRAME","2.03634"
"POU3F2","2.0348"
"TRPC6","2.03158"
"SNAP25","2.03069"
"SERPINE3","2.02578"
"PSMB9","2.0218"
"IFIT1","2.02005"
"SPTLC1","2.0152"
"DPCR1","2.01136"
"ZNF502","2.00006"
"LOC100996579","14.7109"
"OCIAD2","13.9774"
"TMEM17","11.6387"
"CAHM","11.4731"
"ELSPBP1","10.8707"
"MYH11","10.3952"
"ATP6V0D2","10.0115"
"CYB5RL","1.99666"
"GPR116","1.99342"
"C4BPB","1.99145"
"PCDHGA3","1.99122"
"PYGM","1.98297"
"KLHDC7B","1.98214"
"IRF8","1.98124"
"MS4A6E","1.97305"
"LINC00264","1.97139"
"GOLGA1","1.96418"
"BST2","1.95936"
"PTPN22","1.95065"
"MAB21L1","1.94832"
"C20ORF197","1.94645"
"TARS","1.93285"
"NR4A3","1.92417"
"ACSM5","1.9191"
"POLR2M","1.91778"
"ZDHHC22","1.90727"
"LOC646719","1.90616"
"KRT25","1.90111"
"CCL18","1.89983"
"DPP9","1.88933"
"TYR","1.88803"
"LINC00116","1.88536"
"NDNL2","1.88368"
"KDM6A","1.87976"
"PITX2","1.87498"
"CRISP2","1.87082"
"OR4K1","1.87022"
"KCNK7","1.86937"
"KLRC4","1.86627"
"PPM1B","1.86456"
"IFIT2","1.86056"
"PHACTR4","1.85953"
"USP41","1.85239"
"FAM71C","1.84761"
"SCGN","1.84756"
"ADIG","1.84699"
"PDIA3","1.84437"
"SLC14A2","1.84354"
"DKK4","1.8414"
"HLA-G","1.83634"
"NDUFA12","1.83077"
"SRGN","1.81829"
"SLC12A3","1.81781"
"HOXA7","1.81446"
"C9ORF50","1.81145"
"AK2","1.80961"
"SYT2","1.80369"
"SNX31","1.80098"
"CGA","1.79679"
"ACSM2A","1.78353"
"CWH43","1.78208"
"BATF2","1.77915"
"DNAH17","1.77882"
"TEDDM1","1.77753"
"ENKUR","1.77526"
"LINC00301","1.77164"
"IFI44L","1.77149"
"BCAT1","1.77136"
"SLITRK4","1.77044"
"PODNL1","1.76992"
"SLC5A9","1.76533"
"GRAMD1B","1.76428"
"SIGLEC11","1.76203"
"OAS2","1.75744"
"LSAMP","1.7527"
"LAP3","1.75148"
"TMEM64","1.75089"
"LOC646626","1.74001"
"GNB5","1.73984"
"TYRP1","1.72855"
"CRYBA1","1.72681"
"LOC729887","1.71757"
"NEXN","1.71658"
"FLJ13224","1.69984"
"HLA-DRA","1.69838"
"C5ORF17","1.69639"
"ERAP2","1.69209"
"KLRC2","1.6796"
"ELMO2","1.67877"
"DUSP3","1.67818"
"LOC401317","1.67689"
"AVIL","1.67672"
"PRR13","1.6745"
"DDO","1.66435"
"POLR2A","1.66404"
"CD209","1.66366"
"CHRDL2","1.66254"
"CCDC121","1.66253"
"GNB4","1.66122"
"CCL5","1.66034"
"NTNG1","1.65618"
"MSH4","1.65563"
"LACRT","1.6555"
"DRAM1","1.65283"
"LOC100506473","1.65199"
"KIAA0408","1.64506"
"FAM83E","1.64465"
"C9ORF66","1.64191"
"GPRC5A","1.63652"
"LEAP2","1.63628"
"EDDM3A","1.63063"
"UBE2L3","1.62389"
"HSPA6","1.62224"
"CNOT6L","1.6208"
"DISC1","1.62054"
"DAPK3","1.61597"
"LOC283352","1.61562"
"HSPA12B","1.61524"
"PRLHR","1.61341"
"SPAM1","1.61327"
"TSKS","1.6108"
"LRRN4","1.60866"
"LOC100507140","1.60835"
"PAPOLG","1.60664"
"RGS1","1.60406"
"HS3ST3B1","1.60235"
"EDN1","1.59852"
"RBMY1E","1.59447"
"FLJ44715","1.58512"
"C2ORF61","1.58415"
"H3F3A","1.58104"
"HSCB","1.58087"
"ATP6V1B1","1.58026"
"MX1","1.58011"
"LOC100506548","1.57899"
"CCDC66","1.57634"
"CRP","1.57448"
"SPI1","1.57335"
"PRR15","1.57226"
"PLAT","1.56824"
"HNF4G","1.5674"
"LINC00208","1.55894"
"STAC2","1.55584"
"ZNFX1","1.55476"
"NLRP14","1.55225"
"APMAP","1.55162"
"ZC3H12D","1.54876"
"SPAG6","1.54577"
"WDR25","1.54142"
"LIPA","1.54125"
"CSPG4P5","1.53768"
"SLC35F1","1.53063"
"POM121L8P","1.52527"
"ANKRD29","1.52382"
"LLPH","1.52208"
"ITPRIPL1","1.51602"
"RPF1","1.51358"
"KLRK1","1.51348"
"WDR11-AS1","1.51298"
"PRDX3","1.5125"
"CFH","1.5098"
"MSX2","1.50946"
"PSMB2","1.50428"
"ADAP2","1.50116"
"USP18","1.4997"
"LOC100506544","1.49858"
"NXF5","1.49612"
"SALL2","1.49164"
"RGS22","1.49159"
"IFI44","1.49071"
"FAIM3","1.49037"
"OR4N4","1.48916"
"SCGB2A1","1.48243"
"PPBPP2","1.48056"
"DRD5","1.47901"
"GRIP2","1.47769"
"CD93","1.47749"
"NMRK1","1.47743"
"GOLGA6L6","1.47485"
"ZC3H12C","1.47075"
"KRTDAP","1.46719"
"GPR115","1.46299"
"MYOZ3","1.46048"
"TMEM45B","1.4577"
"EPM2AIP1","1.45539"
"CCDC38","1.45539"
"CYP4F11","1.45222"
"DLC1","1.45182"
"NPTX1","1.4518"
"FGF19","1.45089"
"SNRPB2","1.45029"
"SNAI1","1.44667"
"PAPLN","1.44478"
"PCGF5","1.44402"
"PANX3","1.44112"
"SLC3A2","1.4407"
"PLIN1","1.43571"
"HMP19","1.43354"
"NEXN-AS1","1.42886"
"ESM1","1.42211"
"LOC728485","1.42171"
"DDR2","1.42093"
"CAND2","1.42076"
"CISH","1.42"
"CD200","1.41929"
"OR13D1","1.41767"
"TXNDC9","1.4145"
"GNG8","1.41366"
"GSTA2","1.40772"
"AEN","1.40598"
"DIO2","1.40414"
"LOC100130964","1.40396"
"GBP3","1.40281"
"CCR7","1.39843"
"CDNF","1.39842"
"ARID4B","1.3969"
"MUT","1.394"
"CSAG1","1.39198"
"MED17","1.39073"
"WDR75","1.3867"
"S100Z","1.37194"
"ITGB1BP2","1.37164"
"C4ORF3","1.36943"
"GTPBP8","1.36732"
"OR7A10","1.3632"
"CDCA7","1.36295"
"KIN","1.35931"
"CRYAA","1.35929"
"HLA-E","1.35689"
"TMPRSS12","1.35626"
"DPY19L2P2","1.35489"
"HLA-J","1.35331"
"FNIP1","1.35164"
"FAP","1.35135"
"UGGT2","1.35056"
"C22ORF39","1.35039"
"KRT71","1.34794"
"APOA1","1.3476"
"CBLL1","1.34723"
"PPP1R15B","1.34416"
"NOX1","1.34294"
"CCL4","1.34243"
"LOC145837","1.34191"
"RPS27A","1.34187"
"ANGPTL4","1.34131"
"VIL1","1.34047"
"ST7-AS1","1.33806"
"NFIC","1.33668"
"CMTM3","1.33595"
"PPP1R17","1.3355"
"GP5","1.33446"
"HGF","1.33118"
"MGARP","1.33076"
"MPZ","1.32588"
"EIF1AX","1.32558"
"CDO1","1.32537"
"ANK1","1.3248"
"LOC100507165","1.32338"
"FYCO1","1.32238"
"OR51G1","1.322"
"ITSN2","1.31328"
"CCDC136","1.31273"
"CX3CR1","1.30985"
"OTX2","1.30755"
"LAT","1.30608"
"HTR2C","1.30222"
"SNX2","1.30085"
"DERL2","1.29921"
"TAS2R13","1.2981"
"EYA4","1.29803"
"SNHG7","1.29415"
"CCDC79","1.2933"
"DEFB126","1.29208"
"IFI27","1.28907"
"HSPE1","1.28895"
"PANK3","1.28838"
"HPX","1.28744"
"BCL10","1.28719"
"SPTSSA","1.28245"
"KCNA2","1.28003"
"ZPBP2","1.27975"
"IQUB","1.2781"
"HCLS1","1.2769"
"KCNN1","1.27626"
"SFTA3","1.27498"
"SBSPON","1.2747"
"TDH","1.27359"
"GLRA3","1.27143"
"TSSK4","1.27115"
"ATP5I","1.26687"
"C1ORF192","1.26649"
"SYNPO2L","1.26528"
"SENP3","1.2649"
"GJB7","1.26472"
"STAR","1.26302"
"JAZF1","1.26235"
"FHAD1","1.26179"
"KRTAP13-3","1.25872"
"TRMT44","1.25775"
"SUCO","1.25572"
"OR51E1","1.25339"
"MGP","1.25226"
"DOK2","1.2517"
"LOC100130654","1.25059"
"GPR125","1.24644"
"GTPBP2","1.24547"
"C10ORF95","1.24424"
"ZNF645","1.24277"
"ETV7","1.24095"
"PPAPDC2","1.24009"
"ZNF239","1.23881"
"SPTBN2","1.23598"
"N4BP1","1.23422"
"DBF4B","1.2321"
"ABCA6","1.2306"
"TBX21","1.2296"
"SLC14A1","1.22852"
"SP140","1.22691"
"ZNF770","1.22618"
"SSR3","1.22462"
"DDX60","1.22436"
"TF","1.22068"
"SOGA1","1.21895"
"SERPINB13","1.21551"
"SNRPN","1.21439"
"KCNE2","1.20979"
"ANKRD10","1.20978"
"C6ORF10","1.20646"
"UG0898H09","1.20631"
"AGER","1.20529"
"KANSL1-AS1","1.20456"
"LINC00506","1.20428"
"DHX58","1.20409"
"SLC25A25","1.20307"
"CDKN1A","1.20258"
"GAST","1.20153"
"FCGR3B","1.20064"
"MUC3","1.19959"
"ASH1L-AS1","1.1992"
"MRPS11","1.19645"
"HPN","1.19628"
"FNDC7","1.19621"
"SLC16A10","1.19235"
"FAM111B","1.19094"
"LDHAL6A","1.19083"
"DENND5A","1.18839"
"MT1G","1.18705"
"AMICA1","1.18658"
"RAB39B","1.18656"
"ARL5B","1.18404"
"SERTAD4-AS1","1.1831"
"TMEM60","1.18298"
"SAA3P","1.18294"
"CYP20A1","1.17581"
"HTR4","1.1756"
"ANKRD11","1.17368"
"TNFAIP2","1.17285"
"CETN2","1.17228"
"XKRX","1.16634"
"GIMAP8","1.16448"
"PLSCR1","1.16436"
"MGC16142","1.16355"
"BLZF1","1.16261"
"FBXO17","1.16168"
"NUFIP2","1.16051"
"COL9A1","1.15788"
"PLCE1","1.15713"
"SYN2","1.15673"
"FAM228A","1.1565"
"ODAM","1.15536"
"CRYBB2","1.15458"
"SDS","1.15447"
"TAT","1.15346"
"CALML4","1.15155"
"OASL","1.15151"
"PRSS22","1.15094"
"UBE3A","1.15084"
"LAT2","1.15075"
"PRR14L","1.14934"
"FAM46A","1.14822"
"ZNF287","1.14621"
"LOC100289045","1.14597"
"SPDYE3","1.14573"
"MYD88","1.14338"
"C19ORF71","1.14275"
"DLX1","1.14265"
"RANBP6","1.14043"
"ZC3H6","1.13976"
"LOC100507191","1.13921"
"TKTL2","1.13834"
"LOC100130456","1.13832"
"VENTXP1","1.13636"
"ZNF669","1.13617"
"ZDHHC7","1.13616"
"RYBP","1.13514"
"SLC17A6","1.13391"
"RMI1","1.13177"
"LOC646903","1.12908"
"TBC1D10C","1.12903"
"MOCS2","1.12901"
"TCTEX1D1","1.12846"
"MAN2C1","1.1276"
"CTXN3","1.12674"
"CNPY2","1.12613"
"SCN5A","1.12578"
"LMO2","1.12523"
"KIAA1456","1.12518"
"RAB3GAP2","1.12474"
"EML1","1.12369"
"SLC23A1","1.1228"
"ECM2","1.12219"
"POM121","1.12081"
"GYS2","1.11951"
"SPARCL1","1.118"
"FBLN2","1.11682"
"ADAMTS9","1.11675"
"LYSMD2","1.11537"
"BDP1","1.11236"
"MYH8","1.11229"
"POTEB","1.11123"
"PHYHD1","1.11005"
"KIAA1143","1.10933"
"IL12A","1.10921"
"WNK4","1.10887"
"CPLX4","1.10799"
"LOC100127972","1.10606"
"HOXB3","1.10557"
"MYO1F","1.10556"
"SLC9B1","1.10276"
"VASN","1.10195"
"NUDCD1","1.10085"
"NPAS4","1.10059"
"MMEL1","1.10039"
"SAMHD1","1.09994"
"CBX3P2","1.09876"
"CCDC172","1.09779"
"SCML1","1.09724"
"DIRAS1","1.09721"
"CEACAM1","1.09637"
"ERICH2","1.09473"
"FBXO6","1.0929"
"FLJ40288","1.0927"
"SNX32","1.09207"
"SYCP3","1.09073"
"PYHIN1","1.08953"
"FIGF","1.08902"
"GSTM2","1.088"
"THAP2","1.08621"
"PARVG","1.08604"
"PRR4","1.08517"
"USP30-AS1","1.08428"
"TMEM106A","1.08338"
"DPH2","1.08241"
"RRS1","1.08191"
"LOC730183","1.0812"
"PNOC","1.07904"
"P2RY6","1.07843"
"FAR1","1.07768"
"ZNF295-AS1","1.07715"
"TMC7","1.07704"
"CRYBB1","1.07636"
"PLN","1.07548"
"TRIM43","1.07502"
"ZNF248","1.07207"
"WNT3A","1.07151"
"CCDC142","1.07035"
"ZNF844","1.06923"
"OSM","1.06868"
"PAPOLB","1.06614"
"LOC100130924","1.06579"
"SLC15A3","1.06571"
"PIWIL2","1.06568"
"SPDYE1","1.06305"
"KRT2","1.06258"
"HHIPL1","1.06153"
"RIPK2","1.06011"
"C6ORF52","1.05947"
"DTWD1","1.0552"
"IL17F","1.0546"
"RASSF8","1.05405"
"ATL2","1.05208"
"ADAR","1.05192"
"HAVCR1","1.04953"
"TSPY26P","1.04902"
"INSL5","1.04756"
"CREB3L1","1.04666"
"RAMP2-AS1","1.04662"
"VKORC1L1","1.04512"
"CRTAM","1.04407"
"EFHC2","1.04384"
"LOC100507530","1.0437"
"CCR2","1.04355"
"SGSM1","1.04271"
"LGSN","1.04142"
"C2ORF16","1.0402"
"C1ORF94","1.03887"
"AHSG","1.0383"
"CRABP1","1.03813"
"RP1","1.03781"
"MMRN1","1.03746"
"DUSP8","1.0361"
"LOC100289098","1.03458"
"SIX6","1.0334"
"SSBP1","1.03203"
"KRTAP2-3","1.03106"
"TAPBP","1.0293"
"ASB14","1.02777"
"GOT2","1.02702"
"C21ORF2","1.02677"
"PDZD3","1.02612"
"CUL5","1.02437"
"ZBTB7C","1.02282"
"RIMKLA","1.02213"
"RAB9BP1","1.02191"
"ANGPT2","1.02136"
"MGAM","1.02084"
"LHX9","1.01816"
"TNIP3","1.01692"
"ZNF595","1.01619"
"RHEBL1","1.01585"
"DDX3Y","1.01426"
"RBFA","1.01361"
"ACOT2","1.01354"
"RSU1","1.01327"
"REC8","1.01231"
"PMS2P4","1.01212"
"PSMD11","1.01183"
"PP13","1.00779"
"DNAJA1","1.00725"
"B4GALT2","1.0067"
"MED1","1.00431"
"ITGB3","1.0037"
"UBE2B","1.00326"
"BEND5","1.00262"
"NXPE2","1.00209"
"CCDC138","1.00123"
"CCDC158","1.00098"
"KRT13","0.999051"
"C1QTNF3","0.999033"
"ZNF812","0.998955"
"DCUN1D5","0.996352"
"ABCC9","0.995984"
"MYC","0.995171"
"FDCSP","0.993807"
"BPIFB1","0.993613"
"CCR1","0.993126"
"HSPB2","0.992846"
"MGAT3","0.99262"
"OR4K17","0.991524"
"C1ORF162","0.99119"
"NR5A1","0.991163"
"ADIPOQ","0.990907"
"ABTB2","0.990423"
"ATF3","0.990142"
"OR5I1","0.98955"
"LOC645752","0.989251"
"DOCK8","0.987832"
"CRYGS","0.987027"
"LILRA4","0.9863"
"HRH4","0.986261"
"FAM104B","0.984224"
"INO80C","0.983793"
"OR7G3","0.98305"
"HIF3A","0.98218"
"PPP3CB","0.981786"
"RICTOR","0.981313"
"ZNF252P","0.980563"
"LIMS1","0.978138"
"RBM46","0.977222"
"HBEGF","0.976973"
"OLIG2","0.97471"
"IGSF22","0.974397"
"ZDHHC15","0.971273"
"SLC38A11","0.969714"
"AKAP14","0.968744"
"SPHKAP","0.967371"
"SLC35F4","0.964531"
"SIRPA","0.964223"
"TCERG1L","0.964195"
"C11ORF54","0.963694"
"SHCBP1L","0.963566"
"TRIM64","0.962901"
"CBFB","0.962472"
"NT5E","0.961849"
"LYPD8","0.960526"
"RFPL2","0.959924"
"DTX3L","0.958724"
"TTTY22","0.958272"
"KIAA0368","0.957446"
"SMR3A","0.957341"
"RND2","0.955858"
"RHAG","0.955675"
"MAGOHB","0.955127"
"HSPA5","0.954451"
"CD22","0.953576"
"NOD2","0.951916"
"AASDH","0.95127"
"SLC7A14","0.950335"
"RND1","0.949065"
"FCER2","0.947713"
"ESCO1","0.947127"
"DDX60L","0.946169"
"ITGA10","0.945423"
"LOC401098","0.945423"
"RASGRP3","0.945311"
"FAM205A","0.945056"
"SAP18","0.94319"
"SERPINB12","0.942941"
"NUCKS1","0.942606"
"GSTTP1","0.942384"
"HSPB9","0.941547"
"SNHG10","0.939901"
"ISG15","0.939897"
"LINC00421","0.938543"
"NXN","0.936973"
"UBE2D3","0.935721"
"FHOD3","0.935336"
"PRPH2","0.93517"
"PRSS30P","0.934815"
"CNNM2","0.934349"
"PTS","0.933693"
"LOC100130256","0.933563"
"RBM39","0.931968"
"MXD1","0.931523"
"MAPK8","0.930192"
"RNF215","0.930056"
"TRPM3","0.930008"
"FAM9C","0.929017"
"CPEB4","0.928757"
"EMCN","0.92868"
"IDI2-AS1","0.926793"
"RDH11","0.926445"
"MTF1","0.925802"
"BTF3P11","0.925188"
"SOX10","0.924754"
"CD1E","0.923985"
"ZNF398","0.923971"
"MICALCL","0.922207"
"MOB3B","0.922187"
"UBL4B","0.921752"
"PSMA1","0.921197"
"MBTD1","0.919885"
"NME8","0.919698"
"HCG4","0.91905"
"NLRP9","0.918591"
"ARL1","0.917384"
"SLC27A6","0.916784"
"FKSG29","0.916723"
"LCE2B","0.916635"
"POTED","0.916515"
"GGT8P","0.916343"
"FABP2","0.91538"
"FAM183B","0.914748"
"LRRC19","0.914655"
"LSM6","0.914541"
"NUAK2","0.91443"
"TXNDC2","0.91383"
"EFCAB2","0.913591"
"LOC644656","0.911597"
"PAM16","0.911524"
"CD80","0.911032"
"SPACA1","0.910432"
"IL7R","0.910325"
"PIN4","0.909736"
"FAM161A","0.908573"
"FIBCD1","0.907216"
"SLC16A13","0.906891"
"RAB43","0.906885"
"SP3","0.906471"
"IL5RA","0.905503"
"GRIK1-AS2","0.904848"
"IDO1","0.903015"
"MB21D2","0.902219"
"DUSP1","0.902031"
"SSTR4","0.90188"
"TMOD4","0.901664"
"ZNF397","0.900522"
"CPT1C","0.900477"
"MTRR","0.900396"
"PHF11","0.900219"
"LOC643355","0.899751"
"CXCL2","0.899603"
"HIST1H1T","0.89899"
"FAM27L","0.897066"
"FKBP4","0.897061"
"ADAMTSL4","0.895806"
"APOA5","0.895519"
"AMY1C","0.894447"
"NUP85","0.894297"
"C8ORF4","0.891709"
"FOS","0.891392"
"FAM149B1","0.89046"
"YIPF6","0.889228"
"SPARC","0.888656"
"NRG3","0.887686"
"CREB3L2","0.887225"
"TMEM223","0.887116"
"GPR31","0.885967"
"TADA2A","0.885538"
"SPDYA","0.885531"
"TDRD7","0.884408"
"TSHR","0.883708"
"IL13","0.883516"
"C17ORF78","0.883369"
"FCGR1B","0.883096"
"PDZD2","0.88194"
"CD1D","0.881694"
"MT1E","0.880848"
"AWAT1","0.879665"
"MEOX2","0.879354"
"UBE2QL1","0.87932"
"PLSCR2","0.879209"
"HSPB3","0.879174"
"PNMA6A","0.878913"
"TRAF1","0.878118"
"OAS3","0.877514"
"DTNA","0.877033"
"DUSP6","0.875598"
"C1ORF95","0.874574"
"MAGEC3","0.874527"
"POTEM","0.873697"
"CHRAC1","0.873445"
"AMH","0.873165"
"RDH14","0.872784"
"OIT3","0.872357"
"LDLR","0.872141"
"ASCL1","0.871392"
"GPC5","0.870608"
"ZNF674-AS1","0.869457"
"SLITRK5","0.867493"
"BTNL3","0.866991"
"LOC100128175","0.866719"
"LOC100505851","0.866468"
"ZNF253","0.86516"
"PTPN12","0.862017"
"NEDD4L","0.861749"
"KRTAP13-1","0.861733"
"ATG4B","0.860451"
"GRB10","0.860336"
"APBA1","0.859662"
"MAP2K6","0.859456"
"CEP19","0.859408"
"RP9","0.859263"
"WDR49","0.859003"
"VWC2","0.858826"
"KLRAP1","0.858697"
"C8A","0.858025"
"LOC100506271","0.857665"
"CPS1-IT1","0.857119"
"TNFRSF9","0.857001"
"PDSS1","0.856616"
"USH2A","0.856389"
"LPAL2","0.856183"
"LOC100130357","0.856049"
"DPH3P1","0.855735"
"PHTF1","0.855531"
"RTP3","0.853455"
"CCNA1","0.852793"
"TDGF1","0.852085"
"FLJ38379","0.851977"
"EMC7","0.851514"
"SERPINB8","0.849957"
"DHRS9","0.849765"
"GABRG3","0.848357"
"ANKS4B","0.847732"
"TRANK1","0.847677"
"OTOL1","0.847278"
"LOC645427","0.847193"
"FAM153B","0.846517"
"NPHS1","0.844327"
"ADORA3","0.843208"
"SLC45A3","0.843156"
"FLJ40536","0.842566"
"MSC","0.842485"
"ACRV1","0.841733"
"RAB42","0.840242"
"NLGN4Y","0.840041"
"ERP44","0.839507"
"FZD10","0.839129"
"NCKAP1L","0.838199"
"POM121L10P","0.837836"
"OVOL1","0.837596"
"TMEM132B","0.836153"
"TTC39A","0.834451"
"INSRR","0.833016"
"HSD17B12","0.83147"
"KRT6C","0.830766"
"LRRFIP1","0.830558"
"SH3BGRL","0.829524"
"C1ORF53","0.82905"
"CD36","0.828927"
"SIGLEC12","0.82874"
"MGEA5","0.828455"
"SHFM1","0.827823"
"ZCCHC8","0.827804"
"LOC100509814","0.827188"
"TACR3","0.825746"
"ESAM","0.825062"
"LINC00165","0.824904"
"CNDP1","0.824721"
"PXMP2","0.824629"
"RNF207","0.823452"
"RPL21","0.823058"
"CEP170","0.822669"
"SMG1P1","0.822246"
"PNISR","0.820617"
"LMOD3","0.818957"
"ARID5B","0.818493"
"RPL30","0.818459"
"ITGB3BP","0.81828"
"ASUN","0.817249"
"LOC100287704","0.81693"
"RPL23A","0.816666"
"PFAS","0.816437"
"KCNE4","0.816329"
"ANGPTL7","0.815447"
"SLC6A20","0.815288"
"PNLDC1","0.814354"
"DGKG","0.813911"
"DUT","0.81327"
"NRAP","0.810722"
"TPM1","0.81059"
"SEMA3A","0.810571"
"MGST3","0.810557"
"RDH12","0.809092"
